d_A025,d_A026,d_A001,A025-001,A025-A026-008,A025-A026-007,A025-A026-014,A025-A026-012,A025-A026-011,A025-009,A025-002,A026-A009-001,A026-A009-002,A026-A009-005,A025-A026-027,A026-A089-001,A026-A089-002,A025-A026-006,A026-A009-006,A025-A026-010,A026-A001-003,A026-A001-001,A026-A001-002,A026-A001-004
0001-20090402-68-4-1-469,1,,,,,,,,,,791,雑費,account,debit,2829,ISO4217:JPY,2009-04-02,proposed,トイレットペーパー他,,,,
0001-20090402-68-4-1-469,1,1,,,,,,,,,,,,,,,,,,account sub,10,札幌,部門
0001-20090402-68-4-1-469,2,,,,,,,,,,191,仮払消費税等,account,debit,141,ISO4217:JPY,2009-04-02,tax,,,,,
0001-20090402-68-4-1-469,2,1,,,,,,,,,,,,,,,,,,account sub,10,札幌,部門
0001-20090402-68-4-1-469,3,,,,,,,,,,111,現金,account,credit,2970,ISO4217:JPY,2009-04-02,proposed,トイレットペーパー他,,,,
0001-20090402-68-4-1-469,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090403-134-8-1-477,,,0001-20090403-134-8-1-477,entries,8-477,2008-08-19,manual,gj,General,134,,,,,,,,,,,,,
0001-20090403-134-8-1-477,1,,,,,,,,,,754,事務用消耗品費,account,debit,14858,ISO4217:JPY,2009-04-03,proposed,用紙,,,,
0001-20090403-134-8-1-477,1,1,,,,,,,,,,,,,,,,,,account sub,10,札幌,部門
0001-20090403-134-8-1-477,2,,,,,,,,,,191,仮払消費税等,account,debit,742,ISO4217:JPY,2009-04-03,tax,,,,,
0001-20090403-134-8-1-477,2,1,,,,,,,,,,,,,,,,,,account sub,10,札幌,部門
0001-20090403-134-8-1-477,3,,,,,,,,,,111,現金,account,credit,15600,ISO4217:JPY,2009-04-03,proposed,用紙,,,,
0001-20090403-134-8-1-477,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090403-41-7-1-475,,,0001-20090403-41-7-1-475,entries,7-475,2008-08-19,manual,gj,General,41,,,,,,,,,,,,,
0001-20090403-41-7-1-475,1,,,,,,,,,,733,交際接待費,account,debit,12000,ISO4217:JPY,2009-04-03,proposed,結婚式会費,,,,
0001-20090403-41-7-1-475,1,1,,,,,,,,,,,,,,,,,,account sub,20,東京,部門
0001-20090403-41-7-1-475,2,,,,,,,,,,111,現金,account,credit,12000,ISO4217:JPY,2009-04-03,proposed,結婚式会費,,,,
0001-20090403-41-7-1-475,2,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090404-310-9-1-479,,,0001-20090404-310-9-1-479,entries,9-479,2008-08-19,manual,gj,General,310,,,,,,,,,,,,,
0001-20090404-310-9-1-479,1,,,,,,,,,,740,車両費,account,debit,6486,ISO4217:JPY,2009-04-04,proposed,ガソリン代,,,,
0001-20090404-310-9-1-479,1,1,,,,,,,,,,,,,,,,,,account sub,50,九州,部門
0001-20090404-310-9-1-479,2,,,,,,,,,,191,仮払消費税等,account,debit,324,ISO4217:JPY,2009-04-04,tax,,,,,
0001-20090404-310-9-1-479,2,1,,,,,,,,,,,,,,,,,,account sub,50,九州,部門
0001-20090404-310-9-1-479,3,,,,,,,,,,111,現金,account,credit,18270,ISO4217:JPY,2009-04-04,proposed,ガソリン代,,,,
0001-20090404-310-9-1-479,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090404-310-9-1-479,4,,,,,,,,,,740,車両費,account,debit,9715,ISO4217:JPY,2009-04-04,proposed,高速代,,,,
0001-20090404-310-9-1-479,4,1,,,,,,,,,,,,,,,,,,account sub,50,九州,部門
0001-20090404-310-9-1-479,5,,,,,,,,,,191,仮払消費税等,account,debit,485,ISO4217:JPY,2009-04-04,tax,,,,,
0001-20090404-310-9-1-479,5,1,,,,,,,,,,,,,,,,,,account sub,50,九州,部門
0001-20090404-310-9-1-479,6,,,,,,,,,,740,車両費,account,debit,1200,ISO4217:JPY,2009-04-04,proposed,駐車代,,,,
0001-20090404-310-9-1-479,6,1,,,,,,,,,,,,,,,,,,account sub,50,九州,部門
0001-20090404-310-9-1-479,7,,,,,,,,,,191,仮払消費税等,account,debit,60,ISO4217:JPY,2009-04-04,tax,,,,,
0001-20090404-310-9-1-479,7,1,,,,,,,,,,,,,,,,,,account sub,50,九州,部門
0001-20090405-133-11-1-483,,,0001-20090405-133-11-1-483,entries,11-483,2008-08-19,manual,gj,General,133,,,,,,,,,,,,,
0001-20090405-133-11-1-483,1,,,,,,,,,,746,支払報酬,account,debit,133058,ISO4217:JPY,2009-04-05,proposed,税理士報酬,,,,
0001-20090405-133-11-1-483,1,1,,,,,,,,,,,,,,,,,,account sub,20,東京,部門
0001-20090405-133-11-1-483,2,,,,,,,,,,191,仮払消費税等,account,debit,6652,ISO4217:JPY,2009-04-05,tax,,,,,
0001-20090405-133-11-1-483,2,1,,,,,,,,,,,,,,,,,,account sub,20,東京,部門
0001-20090405-133-11-1-483,3,,,,,,,,,,131,普通預金,account,credit,139710,ISO4217:JPY,2009-04-05,proposed,税理士報酬,,,,
0001-20090405-133-11-1-483,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090405-133-11-1-483,3,2,,,,,,,,,,,,,,,,,,account sub,20,みずほ　本店,補助科目
0001-20090405-139-12-1-485,,,0001-20090405-139-12-1-485,entries,12-485,2008-08-19,manual,gj,General,139,,,,,,,,,,,,,
0001-20090405-139-12-1-485,1,,,,,,,,,,724,福利厚生費,account,debit,52981,ISO4217:JPY,2009-04-05,proposed,制服代,,,,
0001-20090405-139-12-1-485,1,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090405-139-12-1-485,2,,,,,,,,,,191,仮払消費税等,account,debit,2649,ISO4217:JPY,2009-04-05,tax,,,,,
0001-20090405-139-12-1-485,2,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090405-139-12-1-485,3,,,,,,,,,,322,未払金,account,credit,55630,ISO4217:JPY,2009-04-05,proposed,制服代,,,,
0001-20090405-139-12-1-485,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090405-254-13-1-487,,,0001-20090405-254-13-1-487,entries,13-487,2008-08-19,manual,gj,General,254,,,,,,,,,,,,,
0001-20090405-254-13-1-487,1,,,,,,,,,,131,普通預金,account,debit,2959035,ISO4217:JPY,2009-04-05,proposed,09年4月5日伝票No190株式会社　渡辺産業,,,,
0001-20090405-254-13-1-487,1,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090405-254-13-1-487,1,2,,,,,,,,,,,,,,,,,,account sub,50,福岡　北九州,補助科目
0001-20090405-254-13-1-487,2,,,,,,,,,,152,売掛金,account,credit,2959035,ISO4217:JPY,2009-04-05,proposed,09年4月5日伝票No190株式会社　渡辺産業,,,,
0001-20090405-254-13-1-487,2,,,,,,,,,,,,,,,,,,,trading partner,22,㈱渡辺産業,customer
0001-20090405-254-13-1-487,2,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090405-254-13-1-487,3,,,,,,,,,,741,支払手数料,account,debit,600,ISO4217:JPY,2009-04-05,proposed,09年4月5日伝票No190株式会社　渡辺産業,,,,
0001-20090405-254-13-1-487,3,1,,,,,,,,,,,,,,,,,,account sub,50,九州,部門
0001-20090405-254-13-1-487,4,,,,,,,,,,191,仮払消費税等,account,debit,30,ISO4217:JPY,2009-04-05,tax,,,,,
0001-20090405-254-13-1-487,4,1,,,,,,,,,,,,,,,,,,account sub,50,九州,部門
0001-20090405-254-13-1-487,5,,,,,,,,,,152,売掛金,account,credit,630,ISO4217:JPY,2009-04-05,proposed,09年4月5日伝票No190株式会社　渡辺産業,,,,
0001-20090405-254-13-1-487,5,,,,,,,,,,,,,,,,,,,trading partner,22,㈱渡辺産業,customer
0001-20090405-254-13-1-487,5,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090405-255-14-1-489,,,0001-20090405-255-14-1-489,entries,14-489,2008-08-19,manual,gj,General,255,,,,,,,,,,,,,
0001-20090405-255-14-1-489,1,,,,,,,,,,131,普通預金,account,debit,1508295,ISO4217:JPY,2009-04-05,proposed,09年4月5日伝票No191佐々木販売株式会社,,,,
0001-20090405-255-14-1-489,1,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090405-255-14-1-489,1,2,,,,,,,,,,,,,,,,,,account sub,20,みずほ　本店,補助科目
0001-20090405-255-14-1-489,2,,,,,,,,,,152,売掛金,account,credit,1508295,ISO4217:JPY,2009-04-05,proposed,09年4月5日伝票No191佐々木販売株式会社,,,,
0001-20090405-255-14-1-489,2,,,,,,,,,,,,,,,,,,,trading partner,26,佐々木販売㈱,customer
0001-20090405-255-14-1-489,2,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090405-255-14-1-489,3,,,,,,,,,,741,支払手数料,account,debit,450,ISO4217:JPY,2009-04-05,proposed,09年4月5日伝票No191佐々木販売株式会社,,,,
0001-20090405-255-14-1-489,3,1,,,,,,,,,,,,,,,,,,account sub,20,東京,部門
0001-20090405-255-14-1-489,4,,,,,,,,,,191,仮払消費税等,account,debit,22,ISO4217:JPY,2009-04-05,tax,,,,,
0001-20090405-255-14-1-489,4,1,,,,,,,,,,,,,,,,,,account sub,20,東京,部門
0001-20090405-255-14-1-489,5,,,,,,,,,,152,売掛金,account,credit,472,ISO4217:JPY,2009-04-05,proposed,09年4月5日伝票No191佐々木販売株式会社,,,,
0001-20090405-255-14-1-489,5,,,,,,,,,,,,,,,,,,,trading partner,26,佐々木販売㈱,customer
0001-20090405-255-14-1-489,5,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090405-256-15-1-491,,,0001-20090405-256-15-1-491,entries,15-491,2008-08-19,manual,gj,General,256,,,,,,,,,,,,,
0001-20090405-256-15-1-491,1,,,,,,,,,,131,普通預金,account,debit,2171384,ISO4217:JPY,2009-04-05,proposed,09年4月5日伝票No192岩下物産株式会社,,,,
0001-20090405-256-15-1-491,1,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090405-256-15-1-491,1,2,,,,,,,,,,,,,,,,,,account sub,30,三井　名古屋,補助科目
0001-20090405-256-15-1-491,2,,,,,,,,,,152,売掛金,account,credit,2171384,ISO4217:JPY,2009-04-05,proposed,09年4月5日伝票No192岩下物産株式会社,,,,
0001-20090405-256-15-1-491,2,,,,,,,,,,,,,,,,,,,trading partner,27,岩下物産㈱,customer
0001-20090405-256-15-1-491,2,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090405-256-15-1-491,3,,,,,,,,,,741,支払手数料,account,debit,700,ISO4217:JPY,2009-04-05,proposed,09年4月5日伝票No192岩下物産株式会社,,,,
0001-20090405-256-15-1-491,3,1,,,,,,,,,,,,,,,,,,account sub,30,名古屋,部門
0001-20090405-256-15-1-491,4,,,,,,,,,,191,仮払消費税等,account,debit,35,ISO4217:JPY,2009-04-05,tax,,,,,
0001-20090405-256-15-1-491,4,1,,,,,,,,,,,,,,,,,,account sub,30,名古屋,部門
0001-20090405-256-15-1-491,5,,,,,,,,,,152,売掛金,account,credit,735,ISO4217:JPY,2009-04-05,proposed,09年4月5日伝票No192岩下物産株式会社,,,,
0001-20090405-256-15-1-491,5,,,,,,,,,,,,,,,,,,,trading partner,27,岩下物産㈱,customer
0001-20090405-256-15-1-491,5,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090405-76-10-1-481,,,0001-20090405-76-10-1-481,entries,10-481,2008-08-19,manual,gj,General,76,,,,,,,,,,,,,
0001-20090405-76-10-1-481,1,,,,,,,,,,724,福利厚生費,account,debit,53334,ISO4217:JPY,2009-04-05,proposed,制服代,,,,
0001-20090405-76-10-1-481,1,1,,,,,,,,,,,,,,,,,,account sub,20,東京,部門
0001-20090405-76-10-1-481,2,,,,,,,,,,191,仮払消費税等,account,debit,2666,ISO4217:JPY,2009-04-05,tax,,,,,
0001-20090405-76-10-1-481,2,1,,,,,,,,,,,,,,,,,,account sub,20,東京,部門
0001-20090405-76-10-1-481,3,,,,,,,,,,322,未払金,account,credit,56000,ISO4217:JPY,2009-04-05,proposed,制服代,,,,
0001-20090405-76-10-1-481,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090406-10-16-1-493,,,0001-20090406-10-16-1-493,entries,16-493,2008-08-19,manual,gj,General,10,,,,,,,,,,,,,
0001-20090406-10-16-1-493,1,,,,,,,,,,740,車両費,account,debit,4023,ISO4217:JPY,2009-04-06,proposed,ガソリン代,,,,
0001-20090406-10-16-1-493,1,1,,,,,,,,,,,,,,,,,,account sub,10,札幌,部門
0001-20090406-10-16-1-493,2,,,,,,,,,,191,仮払消費税等,account,debit,201,ISO4217:JPY,2009-04-06,tax,,,,,
0001-20090406-10-16-1-493,2,1,,,,,,,,,,,,,,,,,,account sub,10,札幌,部門
0001-20090406-10-16-1-493,3,,,,,,,,,,111,現金,account,credit,4224,ISO4217:JPY,2009-04-06,proposed,ガソリン代,,,,
0001-20090406-10-16-1-493,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090406-106-19-1-499,,,0001-20090406-106-19-1-499,entries,19-499,2008-08-19,manual,gj,General,106,,,,,,,,,,,,,
0001-20090406-106-19-1-499,1,,,,,,,,,,733,交際接待費,account,debit,5372,ISO4217:JPY,2009-04-06,proposed,食事代　ホテルララダ2名,,,,
0001-20090406-106-19-1-499,1,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090406-106-19-1-499,2,,,,,,,,,,191,仮払消費税等,account,debit,268,ISO4217:JPY,2009-04-06,tax,,,,,
0001-20090406-106-19-1-499,2,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090406-106-19-1-499,3,,,,,,,,,,111,現金,account,credit,37820,ISO4217:JPY,2009-04-06,proposed,食事代　ホテルララダ2名,,,,
0001-20090406-106-19-1-499,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090406-106-19-1-499,4,,,,,,,,,,733,交際接待費,account,debit,30648,ISO4217:JPY,2009-04-06,proposed,飲食代　スナック北新地,,,,
0001-20090406-106-19-1-499,4,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090406-106-19-1-499,5,,,,,,,,,,191,仮払消費税等,account,debit,1532,ISO4217:JPY,2009-04-06,tax,,,,,
0001-20090406-106-19-1-499,5,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090406-110-20-1-501,,,0001-20090406-110-20-1-501,entries,20-501,2008-08-19,manual,gj,General,110,,,,,,,,,,,,,
0001-20090406-110-20-1-501,1,,,,,,,,,,726,旅費交通費,account,debit,2181,ISO4217:JPY,2009-04-06,proposed,タクシー代,,,,
0001-20090406-110-20-1-501,1,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090406-110-20-1-501,2,,,,,,,,,,191,仮払消費税等,account,debit,109,ISO4217:JPY,2009-04-06,tax,,,,,
0001-20090406-110-20-1-501,2,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090406-110-20-1-501,3,,,,,,,,,,111,現金,account,credit,2290,ISO4217:JPY,2009-04-06,proposed,タクシー代,,,,
0001-20090406-110-20-1-501,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090406-123-21-1-503,,,0001-20090406-123-21-1-503,entries,21-503,2008-08-19,manual,gj,General,123,,,,,,,,,,,,,
0001-20090406-123-21-1-503,1,,,,,,,,,,727,通信費,account,debit,38096,ISO4217:JPY,2009-04-06,proposed,切手代,,,,
0001-20090406-123-21-1-503,1,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090406-123-21-1-503,2,,,,,,,,,,191,仮払消費税等,account,debit,1904,ISO4217:JPY,2009-04-06,tax,,,,,
0001-20090406-123-21-1-503,2,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090406-123-21-1-503,3,,,,,,,,,,111,現金,account,credit,40000,ISO4217:JPY,2009-04-06,proposed,切手代,,,,
0001-20090406-123-21-1-503,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090406-124-22-1-505,,,0001-20090406-124-22-1-505,entries,22-505,2008-08-19,manual,gj,General,124,,,,,,,,,,,,,
0001-20090406-124-22-1-505,1,,,,,,,,,,738,租税公課,account,debit,6000,ISO4217:JPY,2009-04-06,proposed,収入印紙,,,,
0001-20090406-124-22-1-505,1,1,,,,,,,,,,,,,,,,,,account sub,40,大阪,部門
0001-20090406-124-22-1-505,2,,,,,,,,,,111,現金,account,credit,6000,ISO4217:JPY,2009-04-06,proposed,収入印紙,,,,
0001-20090406-124-22-1-505,2,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090406-147-23-1-507,,,0001-20090406-147-23-1-507,entries,23-507,2008-08-19,manual,gj,General,147,,,,,,,,,,,,,
0001-20090406-147-23-1-507,1,,,,,,,,,,740,車両費,account,debit,4882,ISO4217:JPY,2009-04-06,proposed,ガソリン代,,,,
0001-20090406-147-23-1-507,1,1,,,,,,,,,,,,,,,,,,account sub,50,九州,部門
0001-20090406-147-23-1-507,2,,,,,,,,,,191,仮払消費税等,account,debit,244,ISO4217:JPY,2009-04-06,tax,,,,,
0001-20090406-147-23-1-507,2,1,,,,,,,,,,,,,,,,,,account sub,50,九州,部門
0001-20090406-147-23-1-507,3,,,,,,,,,,322,未払金,account,credit,5126,ISO4217:JPY,2009-04-06,proposed,ガソリン代,,,,
0001-20090406-147-23-1-507,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090406-156-24-1-509,,,0001-20090406-156-24-1-509,entries,24-509,2008-08-19,manual,gj,General,156,,,,,,,,,,,,,
0001-20090406-156-24-1-509,1,,,,,,,,,,726,旅費交通費,account,debit,7143,ISO4217:JPY,2009-04-06,proposed,出張旅費,,,,
0001-20090406-156-24-1-509,1,1,,,,,,,,,,,,,,,,,,account sub,50,九州,部門
0001-20090406-156-24-1-509,2,,,,,,,,,,191,仮払消費税等,account,debit,357,ISO4217:JPY,2009-04-06,tax,,,,,
0001-20090406-156-24-1-509,2,1,,,,,,,,,,,,,,,,,,account sub,50,九州,部門
0001-20090406-156-24-1-509,3,,,,,,,,,,111,現金,account,credit,7500,ISO4217:JPY,2009-04-06,proposed,出張旅費,,,,
0001-20090406-156-24-1-509,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090406-236-25-1-511,,,0001-20090406-236-25-1-511,entries,25-511,2008-08-19,manual,gj,General,236,,,,,,,,,,,,,
0001-20090406-236-25-1-511,1,,,,,,,,,,733,交際接待費,account,debit,25239,ISO4217:JPY,2009-04-06,proposed,ゴルフプレー代2名,,,,
0001-20090406-236-25-1-511,1,1,,,,,,,,,,,,,,,,,,account sub,20,東京,部門
0001-20090406-236-25-1-511,2,,,,,,,,,,191,仮払消費税等,account,debit,1261,ISO4217:JPY,2009-04-06,tax,,,,,
0001-20090406-236-25-1-511,2,1,,,,,,,,,,,,,,,,,,account sub,20,東京,部門
0001-20090406-236-25-1-511,3,,,,,,,,,,111,現金,account,credit,26500,ISO4217:JPY,2009-04-06,proposed,ゴルフプレー代2名,,,,
0001-20090406-236-25-1-511,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090406-305-26-1-513,,,0001-20090406-305-26-1-513,entries,26-513,2008-08-19,manual,gj,General,305,,,,,,,,,,,,,
0001-20090406-305-26-1-513,1,,,,,,,,,,131,普通預金,account,debit,1000000,ISO4217:JPY,2009-04-06,proposed,資金移動,,,,
0001-20090406-305-26-1-513,1,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090406-305-26-1-513,1,2,,,,,,,,,,,,,,,,,,account sub,40,三菱東京　梅田,補助科目
0001-20090406-305-26-1-513,2,,,,,,,,,,131,普通預金,account,credit,1000000,ISO4217:JPY,2009-04-06,proposed,資金移動,,,,
0001-20090406-305-26-1-513,2,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090406-305-26-1-513,2,2,,,,,,,,,,,,,,,,,,account sub,20,みずほ　本店,補助科目
0001-20090406-42-17-1-495,,,0001-20090406-42-17-1-495,entries,17-495,2008-08-19,manual,gj,General,42,,,,,,,,,,,,,
0001-20090406-42-17-1-495,1,,,,,,,,,,733,交際接待費,account,debit,4429,ISO4217:JPY,2009-04-06,proposed,昼食代　フロンティホテル,,,,
0001-20090406-42-17-1-495,1,1,,,,,,,,,,,,,,,,,,account sub,20,東京,部門
0001-20090406-42-17-1-495,2,,,,,,,,,,191,仮払消費税等,account,debit,221,ISO4217:JPY,2009-04-06,tax,,,,,
0001-20090406-42-17-1-495,2,1,,,,,,,,,,,,,,,,,,account sub,20,東京,部門
0001-20090406-42-17-1-495,3,,,,,,,,,,111,現金,account,credit,4650,ISO4217:JPY,2009-04-06,proposed,昼食代　フロンティホテル,,,,
0001-20090406-42-17-1-495,3,1,,,,,,,,,,,,,,,,,,account sub,0,共通部門,部門
0001-20090406-84-18-1-497,,,0001-20090406-84-18-1-497,entries,18-497,2008-08-19,manual,gj,General,84,,,,,,,,,,,,,
0001-20090406-84-18-1-497,1,,,,,,,,,,727,通信費,account,debit,66667,ISO4217:JPY,2009-04-06,proposed,切手代,,,,
0001-20090406-84-18-1-497,1,1,,,,,,,,,,,,,,,,,,account sub,30,名古屋,部門
0001-20090406-84-18-1-497,2,,,,,,,,,,191,仮払消費税等,account,debit,3333,ISO4217:JPY,2009-04-06,tax,,,,,
