No,module,kind,object class id,Oject Class term,Level,Card,attribute id,Property term,Representation term qualifier,Representation term,Associated Object Class,Semantic data type,Description,Type,Oject Class term (entity),Property term (attribute),Representation term (domain),Ref. Object Class,Ref. Property,Tag
12,Base,BBIE,BS03,Employee,2,0..1,2,Employee Code,,Text,,Text,"Code for the employee. Each employee has only one code. If someone has part-time jobs in multiple departments, there will be more than one record with different Employee_ID [EmpId] in this table. The part time status will be reflected in Employee_Type_Code [EmpTypCd].",A,BAS EMPLOYEE,Employee Code,TEXT 60,,,EmpCd
13,Base,BBIE,BS03,Employee,2,0..1,3,Employee Name,,Text,,Text,The name of the employee.,A,BAS EMPLOYEE,Employee Name,NAME 100,,,EmpNm
14,Base,BBIE,BS03,Employee,2,0..1,4,Inactive Flag,,Indicator,,Indicator,Indicates whether one employee is active or inactive.An employee can become inactive due to various reasons (e.g taking a sabbatical).,A,BAS EMPLOYEE,Inactive Flag,BOOLEAN,,,InactiveFlag
15,Base,BBIE,BS03,Employee,2,0..1,5,Employee Type Code,,Text,,Text,"Code for the employee type. EXAMPLE 004 is an on-the job employee, 005 is a retired employee, 006 is a deceased employee, 007 is a part-time employee.  ",A,BAS EMPLOYEE,Employee Type Code,TEXT 60,,,EmpTypCd
16,Base,BBIE,BS03,Employee,2,0..1,6,Employee Type Name,,Text,,Text,"Name of the employee type. EXAMPLE Employed, retired, probation, part-time.",A,BAS EMPLOYEE,Employee Type Name,TEXT 60,,,EmpTypNm
17,Base,RFBIE,BS03,Employee,2,0..1,7,Department Code,,,Business Segment,REF,"Code for department rosters. EXAMPLE The department name is IT department, the code is 0018. Shall match the Business_Segment_Code [BusSgCd] in the BAS_Business_Segment [BasBusSg] table.",A,BAS EMPLOYEE,Department Code,IDENTIFIER 25,BAS BUSINESS SEGMENT,Business Segment Code,DepCd
18,Base,BBIE,BS03,Employee,2,0..1,8,Employee Job Title,,Text,,Text,Job title of the person in an accounting unit.EXAMPLE Accounting manager.,A,BAS EMPLOYEE,Employee Job Title,TEXT 60,,,EmpJobTitle
19,Base,BBIE,BS03,Employee,2,0..1,9,Employee Academic Degree,,Text,,Text,"Highest academic degree acquired.EXAMPLE Doctor, Master.",A,BAS EMPLOYEE,Employee Academic Degree,TEXT 60,,,EmpAcadDegree
20,Base,BBIE,BS03,Employee,2,0..1,10,Employment Date,,Date,,Date,Employment date of the employee.,A,BAS EMPLOYEE,Employment Date,DATE,,,EmplmntDt
21,Base,BBIE,BS03,Employee,2,0..1,11,Termination Date,,Date,,Date,"Termination date of the employee from which the labor contract was no longer valid, or the employee no longer works in this department.",A,BAS EMPLOYEE,Termination Date,DATE,,,TerminationDt
22,Base,RFBIE,BS03,Employee,2,0..1,12,Recorded,,,User,REF,System user ID associated with the employee. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,A,BAS EMPLOYEE,User ID,IDENTIFIER 25,BAS USER,User ID,UserId
23,Base,ABIE,BS04,User,1,--,0,Details,,,,,Contains the user information of accounting and/or ERP system.,E,BAS USER,,,,,BasUser
24,Base,IDBIE,BS04,User,2,1..1,1,Identification,,Identifier,,PK,"Unique identifier for individuals entering transactions into the accounting and/or ERP system.Typically auto-generated by the system.This field is used to join information in this table to other tables based on fields such as Created_User_ID, Last_Modified_User_ID, Approved_User_ID and Posted_User_ID.",A,BAS USER,User ID,IDENTIFIER 25,,,UserId
25,Base,BBIE,BS04,User,2,0..1,2,User Active Status,,Indicator,,Indicator,"Indicates whether the status of the user is active or inactive.A user can become inactive due to retirement, dismissal or termination, etc.EXAMPLE   1 is active, 0 is inactive.",A,BAS USER,User Active Status,BOOLEAN,,,UserActiveStat
26,Base,BBIE,BS04,User,2,0..1,3,User Status Modified Date,,Date,,Date,Modified date of the user's activation or termination status.,A,BAS USER,User Status Modified Date,DATE,,,UserStatMdfDt
27,Base,BBIE,BS04,User,2,0..1,4,User Name,,Text,,Text,Name of the user.,A,BAS USER,User Name,NAME 100,,,UserNm
28,Base,BBIE,BS04,User,2,0..1,5,User Job Title,,Text,,Text,Job title of the person in the system.EXAMPLE   System manager.,A,BAS USER,User Job Title,TEXT 100,,,UserJobTitle
29,Base,RFBIE,BS04,User,2,0..1,6,Department Code,,,Business Segment,REF,"Code for department rosters.EXAMPLE   The department name is IT department, the code is 0018.Shall match the Business_Segment_Code [BusSgCd] in the BAS_Business_Segment [BasBusSg] table.",A,BAS USER,Department Code,IDENTIFIER 25,BAS BUSINESS SEGMENT,Business Segment Code,DepCd
30,Base,BBIE,BS04,User,2,0..1,7,User Role Responsibility,,Text,,Text,Free-form description of the individual's functional role or primary responsibility.EXAMPLE   Responsibility related to managing the information of AP in the system.,A,BAS USER,User Role Responsibility,TEXT 100,,,UserRoleResp
31,Base,ABIE,BS05,Customer Type,1,--,0,Details,,,,,Contains detailed descriptions of the customer type.,E,BAS CUSTOMER TYPE,,,,,BasCustTyp
32,Base,IDBIE,BS05,Customer Type,2,1..1,1,Identification,,Identifier,,PK,Unique identifier for the customer type. Typically auto-generated by the system.,A,BAS CUSTOMER TYPE,Customer Type ID,IDENTIFIER 60,,,CustTypId
33,Base,BBIE,BS05,Customer Type,2,0..1,2,Customer Type Code,,Code,,Code,"Code for the customer type.EXAMPLE   004 is a platinum customer, 005 is a gold customer, 006 is a silver customer. Customer_Type_Code [CustTypCd] and Customer_Type_Name [CustTypNm] are not necessarily related.",A,BAS CUSTOMER TYPE,Customer Type Code,CUSTOMER TYPE CODE,,,CustTypCd
34,Base,BBIE,BS05,Customer Type,2,0..1,3,Customer Type Name,,Text,,Text,"Name of the type categorized by the customer attributes.EXAMPLE   Platinum customer, gold customer, silver customer.",A,BAS CUSTOMER TYPE,Customer Type Name,NAME 80,,,CustTypNm
35,Base,RFBIE,BS05,Customer Type,2,0..1,4,Parent Customer Type ID,,,Customer Type,REF,Unique identifier for the parent customer type.Typically auto-generated by the system.Shall match the Customer_Type_ID [CustTypId] in the BAS_Customer_Type [BasCustTyp] table.,A,BAS CUSTOMER TYPE,Parent Customer Type ID,IDENTIFIER 60,BAS CUSTOMER TYPE,Customer Type ID,ParCustTypId
36,Base,ABIE,BS06,Customer,1,--,0,Details,,,,,Contains essential and generic information of the customers.,E,BAS CUSTOMER,,,,,BasCust
37,Base,IDBIE,BS06,Customer,2,1..1,1,Identification,,Identifier,,PK,Unique identifier for the customer. Typically auto-generated by the system.,A,BAS CUSTOMER,Customer Account ID,IDENTIFIER 100,,,CustAcntId
38,Base,BBIE,BS06,Customer,2,0..1,2,Customer Account Number,,Identifier,,Code,Number of the customer. This number is either generated by manual input or generated by the system.,A,BAS CUSTOMER,Customer Account Number,IDENTIFIER 100,,,CustAcntNr
39,Base,BBIE,BS06,Customer,2,0..1,3,Customer Account Name,,Text,,Text,Name of the customer.,A,BAS CUSTOMER,Customer Account Name,NAME 200,,,CustAcntNm
40,Base,BBIE,BS06,Customer,2,0..1,4,Customer Abbreviation,,Text,,Text,Abbreviation of the customer's name.,A,BAS CUSTOMER,Customer Abbreviation,NAME 100,,,CustAbrv
41,Base,RFBIE,BS06,Customer,2,0..1,5,Parent Customer ID,,,Customer,REF,Unique identifier for the parent customer.Shall match the Customer_Account_ID [CustAcntId] in the BAS_Customer [BasCust] table.,A,BAS CUSTOMER,Parent Customer ID,IDENTIFIER 100,BAS CUSTOMER,Customer Account ID,ParCustId
42,Base,RFBIE,BS06,Customer,2,0..1,6,Corresponding Supplier ID,,,Supplier,REF,"Unique identifier for the corresponding supplier in cases where the customer is also a supplier.Shall match the Supplier_Account_ID [SuplAcntId] in the BAS_Supplier [BasSupl] table. Otherwise, set NULL.",A,BAS CUSTOMER,Corresponding Supplier ID,IDENTIFIER 100,BAS SUPPLIER,Supplier Account ID,CorrSuplId
43,Base,RFBIE,BS06,Customer,2,0..1,7,Customer Type ID,,,Customer Type,REF,Unique identifier for the customer type.Typically auto-generated by the system.Shall match the Customer_Type_ID [CustTypId] in the BAS_Customer_Type [BasCustTyp] table.,A,BAS CUSTOMER,Customer Type ID,IDENTIFIER 60,BAS CUSTOMER TYPE,Customer Type ID,CustTypId
44,Base,BBIE,BS06,Customer,2,0..1,8,Customer TIN,,Identifier,,Code,Customer's tax identification number.This number is usually generated by a tax regulator.,A,BAS CUSTOMER,Customer TIN,TAX IDENTIFICATION NUMBER,,,CustTin
45,Base,BBIE,BS06,Customer,2,0..1,9,Inactive Date,,Date,,Date,"Date when the customer was declared inactive.A customer can become inactive due to exceeding their credit limit, legal restrictions, contract termination or bankruptcy.",A,BAS CUSTOMER,Inactive Date,DATE,,,InactiveDt
46,Base,BBIE,BS06,Customer,2,0..1,10,Transaction Credit Limit,,Amount,,Amount,Per invoice credit limit established for this customer.,A,BAS CUSTOMER,Transaction Credit Limit,AMOUNT,,,TrCrLimit
47,Base,BBIE,BS06,Customer,2,0..1,11,Total Credit Limit,,Amount,,Amount,Credit limit for this customerâ€™s total outstanding balance.,A,BAS CUSTOMER,Total Credit Limit,AMOUNT,,,TotCrLimit
48,Base,BBIE,BS06,Customer,2,0..1,12,Terms Discount Percentage,,Percentage,,Percentage,"Discount percentage the customer can take if an invoice is paid before a certain number of days.In the flat file, terms are represented as integers to a decimal place.EXAMPLE   10 % is 0.10.",A,BAS CUSTOMER,Terms Discount Percentage,PERCENTAGE,,,TrmsDscntPerc
49,Base,BBIE,BS06,Customer,2,0..1,13,Terms Discount Days,,Code,,Code,Number of days from the invoice date that the customer has to take advantage of discounted terms.Terms are represented as integers with no decimal places.EXAMPLE   10 days are 10.,A,BAS CUSTOMER,Terms Discount Days,NUMBER 6,,,TrmsDscntDays
50,Base,BBIE,BS06,Customer,2,0..1,14,Terms Due Days,,Code,,Code,Default number of days allowed to meet the obligation before an invoice becomes overdue.,A,BAS CUSTOMER,Terms Due Days,NUMBER 6,,,TrmsDueDays
51,Base,ASBIE,BS06,Customer,2,0..1,15,Physical Address,,,Address,,Physical address information.,E,PHYSICAL ADDRESS,,,,,PhysAdr
52,Base,BBIE,BS06,Customer,3,0..1,16,Street Address1,,Text,,Text,Line 1 of the street address.,A,PHYSICAL ADDRESS,Street Address1,TEXT 100,,,StreetAdr1
53,Base,BBIE,BS06,Customer,3,0..1,17,Street Address2,,Text,,Text,Line 2 of the street address.,A,PHYSICAL ADDRESS,Street Address2,TEXT 100,,,StreetAdr2
54,Base,BBIE,BS06,Customer,3,0..1,18,City Name,,Text,,Text,City name of this address.,A,PHYSICAL ADDRESS,City Name,CITY NAME,,,CityNm
55,Base,BBIE,BS06,Customer,3,0..1,19,State Province Code,State Province,Code,,Code,The state or province of this address (in accordance with ISO 3166-2).,A,PHYSICAL ADDRESS,State Province Code,STATE PROVINCE CODE,,,StatePrvncCd
56,Base,BBIE,BS06,Customer,3,0..1,20,Postal Code,Postal,Code,,Code,Zip or postal code of this address.,A,PHYSICAL ADDRESS,Postal Code,POSTAL CODE,,,PostalCd
57,Base,BBIE,BS06,Customer,3,0..1,21,Country Code,Country,Code,,Code,The country code of this address (in accordance with ISO 3166-1).,A,PHYSICAL ADDRESS,Country Code,COUNTRY CODE,,,CntryCd
58,Base,ASBIE,BS06,Customer,2,0..1,22,Billing Address,,,Address,,Billing address information.,E,BILLING ADDRESS,,,,,BillAdr
59,Base,BBIE,BS06,Customer,3,0..1,23,Billing Street Address1,,Text,,Text,Line 1 of the street address.,A,BILLING ADDRESS,Street Address1,TEXT 100,,,StreetAdr1
60,Base,BBIE,BS06,Customer,3,0..1,24,Billing Street Address2,,Text,,Text,Line 2 of the street address.,A,BILLING ADDRESS,Street Address2,TEXT 100,,,StreetAdr2
61,Base,BBIE,BS06,Customer,3,0..1,25,Billing City Name,,Text,,Text,City name of this address.,A,BILLING ADDRESS,City Name,CITY NAME,,,CityNm
62,Base,BBIE,BS06,Customer,3,0..1,26,Billing State Province Code,State Province,Code,,Code,The state or province of this address (in accordance with ISO 3166-2).,A,BILLING ADDRESS,State Province Code,STATE PROVINCE CODE,,,StatePrvncCd
63,Base,BBIE,BS06,Customer,3,0..1,27,Billing Postal Code,Postal,Code,,Code,Zip or postal code of this address.,A,BILLING ADDRESS,Postal Code,POSTAL CODE,,,PostalCd
64,Base,BBIE,BS06,Customer,3,0..1,28,Billing Country Code,Country,Code,,Code,The country code of this address (in accordance with ISO 3166-1).,A,BILLING ADDRESS,Country Code,COUNTRY CODE,,,CntryCd
65,Base,ASBIE,BS06,Customer,2,0..1,29,Primary Contact,,,Contact,,Primary contact information.,E,PRIMARY CONTACT,,,,,PrimCnt
66,Base,BBIE,BS06,Customer,3,0..1,30,Primary Contact Name,,Text,,Text,Name of the contact.,A,PRIMARY CONTACT,Name,NAME 100,,,Nm
67,Base,BBIE,BS06,Customer,3,0..1,31,Primary Contact Phone,Phone number,Code,,Code,The phone number of the contact.,A,PRIMARY CONTACT,Phone,PHONE NUMBER,,,Phone
68,Base,BBIE,BS06,Customer,3,0..1,32,Primary Contact Email,Email,Code,,Code,The email address of the contact.,A,PRIMARY CONTACT,Email,EMAIL,,,Email
69,Base,ASBIE,BS06,Customer,2,0..1,33,Responsible,,,Created,,Information about the data that was created into the system.,E,CREATED,,,,,Crea
70,Base,RFBIE,BS06,Customer,3,0..1,34,Created By,,,User,REF,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,A,CREATED,User ID,IDENTIFIER 25,BAS USER,User ID,UserId
71,Base,BBIE,BS06,Customer,3,0..1,35,Created On,Date,Date,,Date,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",A,CREATED,Date,DATE,,,Dt
72,Base,BBIE,BS06,Customer,3,0..1,36,Created At,Time,Time,,Time,The time of activity.,A,CREATED,Time,TIME,,,Tm
73,Base,ASBIE,BS06,Customer,2,0..1,37,Responsible,,,Approved,,Information about the data was approved within the system.,E,APPROVED,,,,,Aprv
74,Base,RFBIE,BS06,Customer,3,0..1,38,Approved By,,,User,REF,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,A,APPROVED,User ID,IDENTIFIER 25,BAS USER,User ID,UserId
75,Base,BBIE,BS06,Customer,3,0..1,39,Approved On,Date,Date,,Date,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",A,APPROVED,Date,DATE,,,Dt
76,Base,BBIE,BS06,Customer,3,0..1,40,Approved At,Time,Time,,Time,The time of activity.,A,APPROVED,Time,TIME,,,Tm
77,Base,ASBIE,BS06,Customer,2,0..1,41,Responsible,,,Last Modified,,Information about the data was  last modified within the system.,E,LAST MODIFIED,,,,,LstMdf
78,Base,RFBIE,BS06,Customer,3,0..1,42,Last Modified By,,,User,REF,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,A,LAST MODIFIED,User ID,IDENTIFIER 25,BAS USER,User ID,UserId
79,Base,BBIE,BS06,Customer,3,0..1,43,Last Modified On,Date,Date,,Date,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",A,LAST MODIFIED,Date,DATE,,,Dt
80,Base,BBIE,BS06,Customer,3,0..1,44,Last Modified At,Time,Time,,Time,The time of activity.,A,LAST MODIFIED,Time,TIME,,,Tm
81,Base,ABIE,BS07,Supplier Type,1,--,0,Details,,,,,Contains detailed descriptions of the supplier type.,E,BAS SUPPLIER TYPE,,,,,BasSuplTyp
82,Base,BBIE,BS07,Supplier Type,2,1..1,1,Supplier Type ID,,Identifier,,Code,Unique identifier for the supplier type. Typically auto-generated by the system.,A,BAS SUPPLIER TYPE,Supplier Type ID,IDENTIFIER 60,,,SuplTypId
83,Base,BBIE,BS07,Supplier Type,2,0..1,2,Supplier Type Code,,Code,,Code,"Code for the supplier type.EXAMPLE   004 is preferred suppliers, 005 is key suppliers, 006 is common suppliers.",A,BAS SUPPLIER TYPE,Supplier Type Code,SUPPLIER TYPE CODE,,,SuplTypCd
84,Base,BBIE,BS07,Supplier Type,2,0..1,3,Supplier Type Name,,Text,,Text,"Name of the type categorized by the supplier attributes.EXAMPLE   Preferred supplier, key supplier, common supplier.",A,BAS SUPPLIER TYPE,Supplier Type Name,NAME 80,,,SuplTypNm
85,Base,RFBIE,BS07,Supplier Type,2,0..1,4,Parent Supplier Type ID,,,Supplier Type,REF,Unique identifier for the parent supplier type.EXAMPLE   Raw material supplier is a parent type of iron supplier.Typically auto-generated by the system.Shall match the Supplier_Type_ID [SuplTypId] in the BAS_Supplier_Type [BasSuplTyp] table.,A,BAS SUPPLIER TYPE,Parent Supplier Type ID,IDENTIFIER 60,BAS SUPPLIER TYPE,Supplier Type ID,ParSuplTypId
86,Base,ABIE,BS08,Supplier,1,--,0,Details,,,,,Contains essential and generic information of the suppliers.,E,BAS SUPPLIER,,,,,BasSupl
87,Base,IDBIE,BS08,Supplier,2,1..1,1,Supplier Account ID,,Identifier,,PK,Unique identifier for the supplier to whom payment is due or from whom unused credits have been applied.Typically auto-generated by the system.,A,BAS SUPPLIER,Supplier Account ID,IDENTIFIER 100,,,SuplAcntId
88,Base,BBIE,BS08,Supplier,2,0..1,2,Supplier Account Number,,Identifier,,Code,Number of the supplier to whom payment is due or from whom unused credits have been applied.This number is usually generated by manual input or is generated by the system.,A,BAS SUPPLIER,Supplier Account Number,IDENTIFIER 100,,,SuplAcntNr
89,Base,BBIE,BS08,Supplier,2,0..1,3,Supplier Account Name,,Text,,Text,Name of the supplier.,A,BAS SUPPLIER,Supplier Account Name,NAME 200,,,SuplAcntNm
90,Base,BBIE,BS08,Supplier,2,0..1,4,Supplier Abbreviation,,Text,,Text,Abbreviation form of the supplier's name.,A,BAS SUPPLIER,Supplier Abbreviation,NAME 100,,,SuplAbrv
91,Base,RFBIE,BS08,Supplier,2,0..1,5,Parent Supplier ID,,,Supplier,REF,Unique identifier for the parent supplier.Typically auto-generated by the system.Shall match the Supplier_Account_ID [SuplAcntId] in the BAS_Supplier [BasSupl] table.,A,BAS SUPPLIER,Parent Supplier ID,IDENTIFIER 100,BAS SUPPLIER,Supplier Account ID,ParSuplId
92,Base,RFBIE,BS08,Supplier,2,0..1,6,Corresponding Customer ID,,,Customer,REF,"Unique identifier for the corresponding customer in cases where the supplier is also a customer.Typically auto-generated by the system.Shall match the Customer_Account_ID [CustAcntId] in the BAS_Customer [BasCust] table. Otherwise, set NULL.",A,BAS SUPPLIER,Corresponding Customer ID,IDENTIFIER 100,BAS CUSTOMER,Customer Account ID,CorrCustId
93,Base,RFBIE,BS08,Supplier,2,0..1,7,Supplier Type ID,,,Supplier Type,REF,Unique identifier for the supplier type.Typically auto-generated by the system.Shall match the Supplier_Type_ID [SuplTypId] in the BAS_Supplier_Type [BasSuplTyp] table.,A,BAS SUPPLIER,Supplier Type ID,IDENTIFIER 60,BAS SUPPLIER TYPE,Supplier Type ID,SuplTypId
94,Base,BBIE,BS08,Supplier,2,0..1,8,Supplier TIN,,Identifier,,Code,Supplier's tax identification number.This number is usually generated by the tax regulator.,A,BAS SUPPLIER,Supplier TIN,TAX IDENTIFICATION NUMBER,,,SuplTin
95,Base,BBIE,BS08,Supplier,2,0..1,9,Supplier Group,,Text,,Text,Supplier group assignments when the organization segments the suppliers.,A,BAS SUPPLIER,Supplier Group,TEXT 100,,,SuplGroup
96,Base,BBIE,BS08,Supplier,2,0..1,10,Inactive Date,,Date,,Date,"Date when the supplier was declared inactive.A supplier can become inactive due to exceeding their credit limit, legal restrictions, contract termination or bankruptcy.",A,BAS SUPPLIER,Inactive Date,DATE,,,InactiveDt
97,Base,BBIE,BS08,Supplier,2,0..1,11,Transaction Credit Limit,,Amount,,Amount,Per invoice credit limit established for this supplier.,A,BAS SUPPLIER,Transaction Credit Limit,AMOUNT,,,TrCrLimit
98,Base,BBIE,BS08,Supplier,2,0..1,12,Total Credit Limit,,Amount,,Amount,Credit limit for the total outstanding balance approved for the supplier.,A,BAS SUPPLIER,Total Credit Limit,AMOUNT,,,TotCrLimit
99,Base,BBIE,BS08,Supplier,2,0..1,13,Terms Discount Percentage,,Percentage,,Percentage,"Discount percentage the supplier can provide if an invoice is paid before a certain number of days.In the flat file, terms are represented as integers to a decimal place.EXAMPLE   10 % is 0.10.",A,BAS SUPPLIER,Terms Discount Percentage,PERCENTAGE,,,TrmsDscntPerc
100,Base,BBIE,BS08,Supplier,2,0..1,14,Terms Discount Days,,Code,,Code,Number of days from the invoice date that the supplier allows the customer to take advantage of discounted terms.Terms are represented as integers with no decimal places.EXAMPLE   10 days is 10.,A,BAS SUPPLIER,Terms Discount Days,NUMBER 6,,,TrmsDscntDays
101,Base,BBIE,BS08,Supplier,2,0..1,15,Terms Due Days,,Code,,Code,Number of days allowed to meet the obligation before an invoice becomes overdue.,A,BAS SUPPLIER,Terms Due Days,NUMBER 6,,,TrmsDueDays
102,Base,ASBIE,BS08,Supplier,2,0..1,16,Physical Address,,,Address,,Physical address information.,E,PHYSICAL ADDRESS,,,,,PhysAdr
103,Base,BBIE,BS08,Supplier,3,0..1,17,Street Address1,,Text,,Text,Line 1 of the street address.,A,PHYSICAL ADDRESS,Street Address1,TEXT 100,,,StreetAdr1
104,Base,BBIE,BS08,Supplier,3,0..1,18,Street Address2,,Text,,Text,Line 2 of the street address.,A,PHYSICAL ADDRESS,Street Address2,TEXT 100,,,StreetAdr2
105,Base,BBIE,BS08,Supplier,3,0..1,19,City Name,,Text,,Text,City name of this address.,A,PHYSICAL ADDRESS,City Name,CITY NAME,,,CityNm
106,Base,BBIE,BS08,Supplier,3,0..1,20,State Province Code,,Code,,Code,The state or province of this address (in accordance with ISO 3166-2).,A,PHYSICAL ADDRESS,State Province Code,STATE PROVINCE CODE,,,StatePrvncCd
107,Base,BBIE,BS08,Supplier,3,0..1,21,Postal Code,,Code,,Code,Zip or postal code of this address.,A,PHYSICAL ADDRESS,Postal Code,POSTAL CODE,,,PostalCd
108,Base,BBIE,BS08,Supplier,3,0..1,22,Country Code,,Code,,Code,The country code of this address (in accordance with ISO 3166-1).,A,PHYSICAL ADDRESS,Country Code,COUNTRY CODE,,,CntryCd
109,Base,ASBIE,BS08,Supplier,2,0..1,23,Billing Address,,,Address,,Billing address information.,E,BILLING ADDRESS,,,,,BillAdr
110,Base,BBIE,BS08,Supplier,3,0..1,24,Street Address1,,Text,,Text,Line 1 of the street address.,A,BILLING ADDRESS,Street Address1,TEXT 100,,,StreetAdr1
111,Base,BBIE,BS08,Supplier,3,0..1,25,Street Address2,,Text,,Text,Line 2 of the street address.,A,BILLING ADDRESS,Street Address2,TEXT 100,,,StreetAdr2
112,Base,BBIE,BS08,Supplier,3,0..1,26,City Name,,Text,,Text,City name of this address.,A,BILLING ADDRESS,City Name,CITY NAME,,,CityNm
113,Base,BBIE,BS08,Supplier,3,0..1,27,State Province Code,,Code,,Code,The state or province of this address (in accordance with ISO 3166-2).,A,BILLING ADDRESS,State Province Code,STATE PROVINCE CODE,,,StatePrvncCd
114,Base,BBIE,BS08,Supplier,3,0..1,28,Postal Code,,Code,,Code,Zip or postal code of this address.,A,BILLING ADDRESS,Postal Code,POSTAL CODE,,,PostalCd
115,Base,BBIE,BS08,Supplier,3,0..1,29,Country Code,,Code,,Code,The country code of this address (in accordance with ISO 3166-1).,A,BILLING ADDRESS,Country Code,COUNTRY CODE,,,CntryCd
116,Base,ASBIE,BS08,Supplier,2,0..1,30,Primary Contact,,,Contact,,Primary contact information.,E,PRIMARY CONTACT,,,,,PrimCnt
117,Base,BBIE,BS08,Supplier,3,0..1,31,Name,,Text,,Text,Name of the contact.,A,PRIMARY CONTACT,Name,NAME 100,,,Nm
118,Base,BBIE,BS08,Supplier,3,0..1,32,Phone,,Code,,Code,The phone number of the contact.,A,PRIMARY CONTACT,Phone,PHONE NUMBER,,,Phone
119,Base,BBIE,BS08,Supplier,3,0..1,33,Email,,Code,,Code,The email address of the contact.,A,PRIMARY CONTACT,Email,EMAIL,,,Email
120,Base,ASBIE,BS08,Supplier,2,0..1,34,Responsible,,,Created,,Information about the data that was created into the system.,E,CREATED,,,,,Crea
121,Base,RFBIE,BS08,Supplier,3,0..1,35,Created By,,,User,REF,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,A,CREATED,User ID,IDENTIFIER 25,BAS USER,User ID,UserId
122,Base,BBIE,BS08,Supplier,3,0..1,36,Created On,,Date,,Date,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",A,CREATED,Date,DATE,,,Dt
123,Base,BBIE,BS08,Supplier,3,0..1,37,Created At,,Time,,Time,The time of activity.,A,CREATED,Time,TIME,,,Tm
124,Base,ASBIE,BS08,Supplier,2,0..1,38,Responsible,,,Approved,,Information about the data was approved within the system.,E,APPROVED,,,,,Aprv
