Module,#,Table,No.,Name,Datatype,Representation,Description,Level,Key,Ref Field,Ref Table,Kind,Dictionary Entry Name,Object Class Term Qualifier,Object Class Term,Property Term Qualifier,Property Term,Datatype Qualifier,Representation term,Associated Object Class Term Qualifier,Associated Object Class,Occurrence Min,Occurrence Max,XBRL GL Taxonomy Element
Base,3,BAS_Employee,2,Employee_Code,String,%60s,"The code of the employee. Each employee has only one code. If someone does part-time jobs in multiple departments, there will be more than one record with different Employee_ID in this table. And the part-time status will be reflected in Employee_Type_Code.",1,,,,BBIE,ADC_ Employee. Code,ADC,Employee,,Code,,Code,,,1,1,
Base,3,BAS_Employee,3,Employee_Name,String,%100s,The name of the employee.,1,,,,BBIE,ADC_ Employee. Name,ADC,Employee,,Name,,Name,,,1,1,
Base,3,BAS_Employee,4,Inactive_flag,Boolean,%1c,Indicate whether one employee is active or inactive. One employee may become inactive due to some reasons such as sabbatical.,2,,,,BBIE,ADC_ Employee. Inactive Flag. Indicator,ADC,Employee,,Inactive Flag,,Indicator,,,0,1,
Base,3,BAS_Employee,5,Employee_Type_Code,String,%60s,"The code of the employee types. EXAMPLE Using 004 to represent an on-the-job employee, 005 to represent a retired employee, 006 to represent a deceased employee, and 007 to represent a part-time employee.",1,,,,BBIE,ADC_ Employee. Type Code,ADC,Employee,,Type Code,,Code,,,0,1,
Base,3,BAS_Employee,6,Employee_Type_Name,String,%60s,"The name of the employee type. EXAMPLE Employed, retired, probation and part-time.",1,,,,BBIE,ADC_ Employee. Type Name,ADC,Employee,,Type Name,,Name,,,0,1,
Base,3,BAS_Employee,7,Department_Code,String,%25s,The code of department rosters. EXAMPLE The IT department is designated as code 0018. Shall match the Business_Segment_Code in the BAS_Business_Segment table.,1,REF,Business_Segment_Code,BAS_Business_Segment,RFBIE,ADC_ Employee. Department. ADC_ Business Segment,ADC,Employee,,Department,,,ADC,Business Segment,0,1,
Base,3,BAS_Employee,8,Employee_Job_Title,String,%60s,The title of the person in an accounting unit. EXAMPLE Accounting manager.,2,,,,BBIE,ADC_ Employee. Job Title. Name,ADC,Employee,,Job Title,,Name,,,0,1,
Base,3,BAS_Employee,9,Employee_Academic_Degree,String,%60s,"The highest academic degree acquired. EXAMPLE Doctor, Master.",2,,,,BBIE,ADC_ Employee. Academic Degree,ADC,Employee,,Academic Degree,,Text,,,0,1,
Base,3,BAS_Employee,10,Employment_Date,Date,%10c,The employment date of the employee.,2,,,,BBIE,ADC_ Employee. Employment Date,ADC,Employee,,Employment Date,,Date,,,0,1,
Base,3,BAS_Employee,11,Termination_Date,Date,%10c,"The termination date of the employee from which the labor contract was no longer valid, or the employee no longer works in this department.",2,,,,BBIE,ADC_ Employee. Termination Date,ADC,Employee,,Termination Date,,Date,,,0,1,
Base,3,BAS_Employee,12,User_ID,String,%25s,The system user ID associated with the employee. hall match the User_ID in the BAS_User table.,2,REF,User_ID,BAS_User,RFBIE,ADC_ Employee. Associated. ADC_ User,ADC,Employee,,Associated,,,ADC,User,0,1,
Base,4,BAS_User,0,,,,The user information of accounting and/or ERP system is contained in Table 10.,,,,,ABIE,ADC_ User. Details,ADC,User,,,,,,,,,
Base,4,BAS_User,1,User_ID,String,%25s,"The unique identifier for the individuals entering transactions into the accounting and/or ERP system. Typically auto-generated by the system. This field is used to join information in this table to other tables based on the fields such as Created_User_ID, Last_Modified_User_ID, Approved_User_ID and Posted_User_ID, respectively.",1,PK,,,IDBIE,ADC_ User. ID,ADC,User,,Identification,,Identifier,,,1,1,"gl-cor:identifierCode with gl-cor:identifierCategory = ""systemUser"""
Base,4,BAS_User,2,User_Active_Status,Boolean,%1c,"This indicates whether the status of the user is active or inactive. A user may become inactive due to retirement, dismissal or termination etc. EXAMPLE 1 is active and 0 is inactive.",2,,,,BBIE,ADC_ User. Active Status. Code,ADC,User,,Active Status,,Code,,,0,1,gl-cor:identifierActive
Base,4,BAS_User,3,User_Status_Modified_Date,Date,%10c,The modified date of the user's activation or termination status.,2,,,,BBIE,ADC_ User. Status Modified Date,ADC,User,,Status Modified Date,,Date,,,0,1,gl-cor:dateAcknowledged
Base,4,BAS_User,4,User_Name,String,%100s,The name of the user.,1,,,,BBIE,ADC_ User. User Name,ADC,User,,User Name,,Name,,,1,1,gl-cor:identifierContactFirstName and gl-cor:identifierContactLastName
Base,4,BAS_User,5,User_Job_Title,String,%100s,The title of the person in the system. EXAMPLE System manager.,2,,,,BBIE,ADC_ User. User Job Title. Name,ADC,User,,User Job Title,,Name,,,0,1,gl-cor:identifierContactPrefix
Base,4,BAS_User,6,Department_Code,String,%25s,The code of department rosters of the use. EXAMPLE The department name is IT department and the code is 0018. Shall match the Business_Segment_Code in the BAS_Business_Segment table.,2,REF,Business_Segment_Code,BAS_Business_Segment,RFBIE,ADC_ User. Department. ADC_ Business Segment,ADC,User,,Department,,,ADC,Business Segment,0,1,
Base,4,BAS_User,7,User_Role_Responsibility,String,%100s,Free form description of the individual's functional role or primary responsibility. EXAMPLE Responsibility related to managing the information of accounts payable in the system.,2,,,,BBIE,ADC_ User. User Role Responsibility,ADC,User,,User Role Responsibility,,Text,,,0,1,gl-cor:identifierContactPositionRole
Base,5,BAS_Customer_Type,0,,,,Detailed descriptions of the customer type are contained in Table 12.,,,,,ABIE,ADC_ Customer Type. Details,ADC,Customer Type,,,,,,,,,
Base,5,BAS_Customer_Type,1,Customer_Type_ID,String,%60s,The unique identifier for the customer type. Typically auto-generated by the system.,1,PK,,,IDBIE,ADC_ Customer Type. ID,ADC,Customer Type,,Identification,,Identifier,,,1,1,"gl-cor:identifierCode for internal # with gl-cor:identifierType = ""customer"""
Base,5,BAS_Customer_Type,2,Customer_Type_Code,String,%100s,"The code of the customer type. EXAMPLE Using 004 to represent a Platinum customer, 005 to represent a Gold customer and 006 to represent a Silver customer. Customer_Type_Code and Customer_Type_Name are not necessarily related.",1,,,,BBIE,ADC_ Customer Type. Customer Type. Code,ADC,Customer Type,,Customer Type,,Code,,,1,1,
Base,5,BAS_Customer_Type,3,Customer_Type_Name,String,%80s,"The name of the type categorized by the customer attributes. EXAMPLE Platinum customer, Gold customer and Silver customer.",1,,,,BBIE,ADC_ Customer Type. Customer Type. Name,ADC,Customer Type,,Customer Type,,Name,,,1,1,
Base,5,BAS_Customer_Type,4,Parent_Customer_Type_ID,String,%60s,The unique identifier for the parent customer type. Typically autogenerated by the system. Shall match the Customer_Type_ID in the BAS_Customer_Type table.,2,REF,Customer_Type_ID,BAS_Customer_Type,RFBIE,ADC_ Customer Type. Parent. ADC_ Customer Type,ADC,Customer Type,,Parent,,,ADC,Customer Type,0,1,
Base,6,BAS_Customer,0,,,,The essential and generic information of the customers is contained in Table 14.,,,,,ABIE,ADC_ Customer. Details,ADC,Customer,,,,,,,,,
Base,6,BAS_Customer,1,Customer_Account_ID,String,%100s,The unique identifier for the customer. Typically auto-generated by the system.,1,PK,,,IDBIE,ADC_ Customer. ID,ADC,Customer,,Identification,,Identifier,,,1,1,"gl-cor:identifierCode for internal # with gl-cor:identifierType = ""customer"""
Base,6,BAS_Customer,2,Customer_Account_Number,String,%100s,The number of the customer. This number is generated either by manual input or by the system.,1,,,,BBIE,ADC_ Customer. Customer Account Number. Code,ADC,Customer,,Customer Account Number,,Code,,,0,1,gl-cor:identifierDescription
Base,6,BAS_Customer,3,Customer_Account_Name,String,%200s,The name of the customer.,1,,,,BBIE,ADC_ Customer. Customer Account. Name,ADC,Customer,,Customer Account,,Name,,,1,1,gl-cor:identifierDescription
Base,6,BAS_Customer,4,Customer_Abbreviation,String,%100s,The abbreviation of the customer's name.,2,,,,BBIE,ADC_ Customer. Abbreviation,ADC,Customer,,Abbreviation,,Text,,,0,1,
Base,6,BAS_Customer,5,Parent_Customer_ID,String,%100s,The unique identifier for the parent customer. Shall match the Customer_Account_ID in the BAS_Customer table.,2,REF,Customer_Account_ID,BAS_Customer,RFBIE,ADC_ Customer. Parent. ADC_ Customer,ADC,Customer,,Parent,,,ADC,Customer,0,1,"gl-cor:identifierCode with gl-cor:identifierType = ""customer"""
Base,6,BAS_Customer,6,Corresponding_Supplier_ID,String,%100s,The unique identifier for the corresponding supplier in case that the customer is also a supplier. Shall match the Supplier_Account_ID in the BAS_Supplier table. Otherwise set NULL.,2,REF,Supplier_Account_ID,BAS_Supplier,RFBIE,ADC_ Customer. Corresponding. ADC_ Supplier,ADC,Customer,,Corresponding,,,ADC,Supplier,0,1,"gl-cor:identifierCode with gl-cor:identifierType = ""vendor"""
Base,6,BAS_Customer,7,Customer_Type_ID,String,%60s,The unique identifier for the customer type. Typically auto-generated by the system. Shall match the Customer_Type_ID in the BAS_Customer_Type table.,2,REF,Customer_Type_ID,BAS_Customer_Type,RFBIE,ADC_ Customer. Classified. ADC_ Customer Type,ADC,Customer,,Classified,,,ADC,Customer Type,0,1,
Base,6,BAS_Customer,8,Customer_TIN,String,%100s,The customer's tax identification number. This number is usually generated by tax regulator.,1,,,,BBIE,ADC_ Customer. Tax Identification Number. Code,ADC,Customer,,Tax Identification Number,,Code,,,0,1,gl-cor:identifierAuthorityCode for tax #
Base,6,BAS_Customer,9,,,,,1,,,,ASBIE,ADC_ Customer. Physical_ Address. ADC_ Address,ADC,Customer,Physical,Address,,,ADC,Address,0,1,
Base,6,BAS_Customer,15,,,,,1,,,,ASBIE,ADC_ Customer. Billing_ Address. ADC_ Address,ADC,Customer,Billing,Address,,,ADC,Address,0,1,
Base,6,BAS_Customer,21,,,,,2,,,,ASBIE,ADC_ Customer. Crresponding. ADC_ Primary Contact,ADC,Customer,,Crresponding,,,ADC,Primary Contact,0,1,
Base,6,BAS_Customer,24,Inactive_Date,Date,%10c,"The date that the customer was declared inactive. For example a customer may become inactive due to exceeding credit limit, legal restrictions, contract termination or bankruptcy etc.",2,,,,BBIE,ADC_ Customer. Inactive. Date,ADC,Customer,,Inactive,,Date,,,0,1,gl-cor:confirmedDate
Base,6,BAS_Customer,25,Transaction_Credit_Limit,Decimal,%22.4f,The per invoice credit limit established for the customer.,2,,,,BBIE,ADC_ Customer. Transaction Credit Limit. Amount,ADC,Customer,,Transaction Credit Limit,,Amount,,,0,1,gl-muc:amountRestatedAmount
Base,6,BAS_Customer,26,Total_Credit_Limit,Decimal,%22.4f,The credit limit for the customer's total outstanding balance.,2,,,,BBIE,ADC_ Customer. Total Credit Limit. Amount,ADC,Customer,,Total Credit Limit,,Amount,,,0,1,gl-cor:amount
Base,6,BAS_Customer,27,Terms_Discount_Percentage,Decimal,%5.4f,"The discount percentage the customer can take if an invoice is paid before a certain number of days. In the flat file, terms are represented as integers to decimal place. EXAMPLE 10% would be represented as 0.10.",2,,,,BBIE,ADC_ Customer. Terms Discount. Percentage,ADC,Customer,,Terms Discount,,Percentage,,,0,1,gl-cor:terms
Base,6,BAS_Customer,28,Terms_Discount_Days,Integer,%6d,The number of days from the invoice date the customer has to take advantage of discounted terms. Terms are represented as integers with no decimal places. EXAMPLE 10 days would be represented as 10.,2,,,,BBIE,ADC_ Customer. Terms Discount Days. Numeric,ADC,Customer,,Terms Discount Days,,Numeric,,,0,1,See description for field
Base,6,BAS_Customer,29,Terms_Due_Days,Integer,%6d,The default number of days allowed to meet the obligation before an invoice becomes overdue.,2,,,,BBIE,ADC_ Customer. Terms Due Days. Numeric,ADC,Customer,,Terms Due Days,,Numeric,,,0,1,See description for field; explicit in gl-cor:maturityDate
Base,6,BAS_Customer,30,,,,,2,,,,ASBIE,ADC_ Customer. Recorded. ADC_ User Activity,ADC,Customer,,Recorded,,,ADC,User Activity,0,n,
Base,7,BAS_Supplier_Type,0,,,,Detailed descriptions of the supplier type are contained in Table 16.,,,,,ABIE,ADC_ Supplier Type. Details,ADC,Supplier Type,,,,,,,,,
Base,7,BAS_Supplier_Type,1,Supplier_Type_ID,String,%60s,The unique identifier for the supplier type. Typically auto-generated by the system.,1,PK,,,IDBIE,ADC_ Supplier Type. ID,ADC,Supplier Type,,Identification,,Identifier,,,1,1,"gl-cor:documentReference / Rather than using a data field, use XML's ID at the top level of the structure. You can use both XML IDs and IDREFs to create physical links between related documents."
Base,7,BAS_Supplier_Type,2,Supplier_Type_Code,String,%100s,"The code of the supplier type. EXAMPLE Using 004 to represent preferred suppliers, 005 to represent key suppliers, and 006 to represent common suppliers.",1,,,,BBIE,ADC_ Supplier Type. Code,ADC,Supplier Type,,Code,,Code,,,0,1,
Base,7,BAS_Supplier_Type,3,Supplier_Type_Name,String,%80s,"The name of the type categorized by the supplier attributes. EXAMPLE Preferred supplier, key supplier and common supplier.",1,,,,BBIE,ADC_ Supplier Type. Name,ADC,Supplier Type,,Name,,Name,,,1,1,
Base,7,BAS_Supplier_Type,4,Parent_Supplier_Type_ID,String,%60s,The unique identifier for the parent supplier type. EXAMPLE Raw material supplier is a parent type of iron supplier. Typically auto-generated by the system. Shall match the Supplier_Type_ID in the BAS_Supplier_Type table.,2,REF,Supplier_Type_ID,BAS_Supplier_Type,RFBIE,ADC_ Supplier Type. Parent. ADC_ Supplier Type,ADC,Supplier Type,,Parent,,,ADC,Supplier Type,0,1,
Base,8,BAS_Supplier,0,,,,The essential and generic information of the suppliers is contained in Table 18.,,,,,ABIE,ADC_ Supplier. Details,ADC,Supplier,,,,,,,,,
Base,8,BAS_Supplier,1,Supplier_Account_ID,String,%100s,The unique identifier for the supplier to whom payment is due or from whom unused credits have been applied. Typically auto-generated by the system.,1,PK,,,IDBIE,ADC_ Supplier. ID,ADC,Supplier,,Identification,,Identifier,,,1,1,"gl-cor:identifierCode for internal # with gl-cor:identifierType = ""vendor"""
Base,8,BAS_Supplier,2,Supplier_Account_Number,String,%100s,The number of the supplier to whom payment is due or from whom unused credits have been applied. The number is usually generated by manual input or generated by the system.,1,,,,BBIE,ADC_ Supplier. Account Number. Code,ADC,Supplier,,Account Number,,Code,,,0,1,
Base,8,BAS_Supplier,3,Supplier_Account_Name,String,%200s,The name of the supplier.,1,,,,BBIE,ADC_ Supplier. Account Name,ADC,Supplier,,Account Name,,Name,,,1,1,gl-cor:identifierDescription
Base,8,BAS_Supplier,4,Supplier_Abbreviation,String,%100s,The abbreviation of the supplier's name.,2,,,,BBIE,ADC_ Supplier. Abbreviation,ADC,Supplier,,Abbreviation,,Text,,,0,1,
Base,8,BAS_Supplier,5,Parent_Supplier_ID,String,%100s,The unique identifier for the parent supplier. Typically auto-generated by the system. Shall match the Supplier_Account_ID in the BAS_Supplier table.,2,REF,Supplier_Account_ID,BAS_Supplier,RFBIE,ADC_ Supplier. Parent. ADC_ Supplier,ADC,Supplier,,Parent,,,ADC,Supplier,0,1,"gl-cor:identifierCode with gl-cor:identifierType = ""vendor"""
Base,8,BAS_Supplier,6,Corresponding_Customer_ID,String,%100s,The unique identifier for the corresponding customer in case that the supplier is also a customer. Typically auto-generated by the system. Shall match the Customer_Account_ID in the BAS_Customer table. Otherwise set NULL.,2,REF,Customer_Account_ID,BAS_Customer,RFBIE,ADC_ Supplier. Corresponding. ADC_ Customer,ADC,Supplier,,Corresponding,,,ADC,Customer,0,1,"gl-cor:identifierCode with gl-cor:identifierType = ""customer"""
Base,8,BAS_Supplier,7,Supplier_Type_ID,String,%60s,The unique identifier for the supplier type. Typically auto-generated by the system. Shall match the Supplier_Type_ID in the BAS_Supplier_Type table.,2,REF,Supplier_Type_ID,BAS_Supplier_Type,RFBIE,ADC_ Supplier. classified. ADC_ Supplier Type,ADC,Supplier,,classified,,,ADC,Supplier Type,0,1,
Base,8,BAS_Supplier,8,Supplier_TIN,String,%100s,The supplier's tax identification number. The number is usually generated by the tax regulator.,1,,,,BBIE,ADC_ Supplier. Tax Identification Number. Code,ADC,Supplier,,Tax Identification Number,,Code,,,0,1,gl-cor:identifierAuthorityCode for tax #
Base,8,BAS_Supplier,9,,,,,1,,,,ASBIE,ADC_ Supplier. Physical_ Address. ADC_ Address,ADC,Supplier,Physical,Address,,,ADC,Address,0,1,
Base,8,BAS_Supplier,15,,,,,1,,,,ASBIE,ADC_ Supplier. Billing_ Address. ADC_ Address,ADC,Supplier,Billing,Address,,,ADC,Address,0,1,
Base,8,BAS_Supplier,21,,,,,2,,,,ASBIE,ADC_ Supplier. Corresponding. ADC_ Primary Contact,ADC,Supplier,,Corresponding,,,ADC,Primary Contact,0,1,
Base,8,BAS_Supplier,24,Supplier_Group,String,%100s,Supplier group assignments when the organization segments the suppliers.,2,,,,BBIE,ADC_ Supplier. Group. Code,ADC,Supplier,,Group,,Code,,,0,1,gl-cor:identifierCategory
Base,8,BAS_Supplier,25,Inactive_Date,Date,%10c,"The date the supplier was declared inactive. For example a supplier may become inactive due to exceeding credit limit, legal restrictions, contract termination or bankruptcy etc.",2,,,,BBIE,ADC_ Supplier. Inactive. Date,ADC,Supplier,,Inactive,,Date,,,0,1,gl-cor:confirmedDate
Base,8,BAS_Supplier,26,Transaction_Credit_Limit,Decimal,%22.4f,The per invoice credit limit established for this supplier.,2,,,,BBIE,ADC_ Supplier. Transaction Credit Limit. Amount,ADC,Supplier,,Transaction Credit Limit,,Amount,,,0,1,gl-muc:amountRestatedAmount
Base,8,BAS_Supplier,27,Total_Credit_Limit,Decimal,%22.4f,The credit limit for the total outstanding balance approved for the supplier.,2,,,,BBIE,ADC_ Supplier. Total Credit Limit. Amount,ADC,Supplier,,Total Credit Limit,,Amount,,,0,1,gl-cor:amount
Base,8,BAS_Supplier,28,Terms_Discount_Percentage,Decimal,%5.4f,"The discount percentage the supplier can provide if an invoice is paid before a certain number of days. In the flat file, terms are represented as integers to decimal place. EXAMPLE 10% would be represented as 0.10.",2,,,,BBIE,ADC_ Supplier. Terms Discount. Percentage,ADC,Supplier,,Terms Discount,,Percentage,,,0,1,gl-cor:terms
Base,8,BAS_Supplier,29,Terms_Discount_Days,Integer,%6d,The number of days from the invoice date the supplier provides for the customer to take advantage of discounted terms. Terms are represented as integers with no decimal places. EXAMPLE 10 days would be represented as 10.,2,,,,BBIE,ADC_ Supplier. Terms Discount Days. Numeric,ADC,Supplier,,Terms Discount Days,,Numeric,,,0,1,See description for field
Base,8,BAS_Supplier,30,Terms_Due_Days,Integer,%6d,The number of days allowed to meet the obligation before an invoice becomes overdue.,2,,,,BBIE,ADC_ Supplier. Terms Due Days. Numeric,ADC,Supplier,,Terms Due Days,,Numeric,,,0,1,See description for field; explicit in gl-cor:maturityDate
Base,8,BAS_Supplier,31,,,,,2,,,,ASBIE,ADC_ Supplier. Recorded. ADC_ User Activity,ADC,Supplier,,Recorded,,,ADC,User Activity,0,n,
Base,9,BAS_Chart_Of_Accounts,0,,,,"The information about GL accounts, including name, description, type and hierarchy is contained in Table 20. When it is cross-referred by other table(s), consistency shall apply. For example, in this table, the value of GL_Account_Number is 101, the value of GL_Account_Name is cash, and the value of Balance_Debit_Or_Credit is D, if the value of GL_Account_Number in GL_Tial_Balance table is 101, then the Amount corresponding with cash account (101) must be debit.",,,,,ABIE,ADC_ Chart Of Accounts. Details,ADC,Chart Of Accounts,,,,,,,,,
Base,9,BAS_Chart_Of_Accounts,1,GL_Account_Number,String,%100s,The GL account number.,1,PK,,,IDBIE,ADC_ Chart Of Accounts. ID,ADC,Chart Of Accounts,,Identification,,Identifier,,,1,1,gl-cor:accountMainID
Base,9,BAS_Chart_Of_Accounts,2,GL_Account_Name,String,%100s,The name of the GL account.,1,,,,BBIE,ADC_ Chart Of Accounts. GL Account. Name,ADC,Chart Of Accounts,,GL Account,,Name,,,1,1,gl-cor:accountMainDescription
Base,9,BAS_Chart_Of_Accounts,3,GL_Account_Description,String,%1000s,The label or description associated with the GL_Account_Number.,2,,,,BBIE,ADC_ Chart Of Accounts. Description,ADC,Chart Of Accounts,,Description,,Text,,,0,1,gl-cor:accountTypeDescription
Base,9,BAS_Chart_Of_Accounts,4,FS_Caption,String,%100s,"The financial statement caption represents a related group of accounts. EXAMPLE Cash and cash equivalents, accounts payable and cost of sales. The caption can be at the trial balance level.",1,,,,BBIE,ADC_ Chart Of Accounts. Caption,ADC,Chart Of Accounts,,Caption,,Text,,,0,1,gl-cor:summaryReportingElement
Base,9,BAS_Chart_Of_Accounts,5,Account_Type,String,%25s,"The type of account. EXAMPLE Assets, liabilities, equity, revenues and expenses.",1,,,,BBIE,ADC_ Chart Of Accounts. Account Type. Code,ADC,Chart Of Accounts,,Account Type,,Code,,,0,1,gl-cor:mainAccountType
Base,9,BAS_Chart_Of_Accounts,6,Account_Subtype,String,%25s,The subtype of the account. EXAMPLE Current assets are the subtype of assets.,1,,,,BBIE,ADC_ Chart Of Accounts. Accountount Subtype. Code,ADC,Chart Of Accounts,,Accountount Subtype,,Code,,,0,1,gl-cor:mainAccountTypeDescription
Base,9,BAS_Chart_Of_Accounts,7,Account_Hierarchy,Integer,%2d,"The corresponding level for account number in the account hierarchy. EXAMPLE Using 1 to represent assets, and 2 to represent the account subtype current assets.",2,,,,BBIE,ADC_ Chart Of Accounts. Account Hierarchy. Numeric,ADC,Chart Of Accounts,,Account Hierarchy,,Numeric,,,0,1,
Base,9,BAS_Chart_Of_Accounts,8,Parent_GL_Account_Number,String,%100s,"The number of the parent account in an account hierarchy. This is provided to allow more than the predefined levels of the hierarchy in the BAS_Chart_Of_Accounts table. When Parent_GL_Account_Number is the highest level, its value can be set to the default value; for example, set to NULL. Shall match the GL_Account_Number in BAS_Chart_Of_Accounts table.",1,REF,GL_Account_Number,BAS_Chart_Of_Accounts,RFBIE,ADC_ Chart Of Accounts. GL Account Number. ADC_ Chart Of Accounts,ADC,Chart Of Accounts,,GL Account Number,,,ADC,Chart Of Accounts,0,1,
Base,9,BAS_Chart_Of_Accounts,9,Balance_Debit_Or_Credit,String,%1c,"This field is used to indicate whether the natural balance of the account is a debit or credit balance by indicating ""D"" or ""C"", where assets and expenses have a natural balance of debit, and liabilities, equity and revenues have a natural balance of credit.",2,,,,BBIE,ADC_ Chart Of Accounts. Debit Or Credit. indicator,ADC,Chart Of Accounts,,Debit Or Credit,,Code,,,0,1,
Base,9,BAS_Chart_Of_Accounts,10,Active_Flag,Boolean,%1c,This indicates whether the GL account is active or inactive. EXAMPLE 1 is active and 0 is inactive.,2,,,,BBIE,ADC_ Chart Of Accounts. Active Flag. Indicator,ADC,Chart Of Accounts,,Active Flag,,Indicator,,,0,1,
Base,9,BAS_Chart_Of_Accounts,11,,,,,1,,,,ASBIE,ADC_ Chart Of Accounts. X. ADC_ Business Segment,ADC,Chart Of Accounts,,X,,,ADC,Business Segment,0,1,
Base,10,BAS_Accounting_Period,0,,,,"The information related to accounting period including the corresponding fiscal year, the beginning and ending date is contained in Table 22. The table captures the time range within a specific reporting period and year, in which business transactions and entries are accumulated into financial statements and other reports.",,,,,ABIE,ADC_ Accounting Period. Details,ADC,Accounting Period,,,,,,,,,
Base,10,BAS_Accounting_Period,2,Fiscal_Year,String,%4c,"The fiscal year in which the calendar date occurs. The year shall be shown in four digits as ""YYYY"", which is part of the extended format and the ""YYYYMM-DD"" in ISO 8601-1.",1,PK,,,IDBIE,ADC_ Accounting Period. Fiscal Year. Code,ADC,Accounting Period,,Fiscal Year,,Code,,,0,1,
Base,10,BAS_Accounting_Period,3,Accounting_Period,String,%15s,"The accounting period in which the calendar date occurs. EXAMPLE W1_W53 for weekly periods, M1_M12 for monthly periods, Q1_Q4 for quarterly periods, and from any beginning date to any ending date.",1,PK,,,IDBIE,ADC_ Accounting Period. Period. Code,ADC,Accounting Period,,Period,,Code,,,1,1,
Base,10,BAS_Accounting_Period,4,Accounting_Period_BEG_Date,Date,%10c,The calendar beginning date of the current accounting period.,1,,,,BBIE,ADC_ Accounting Period. Beginning. Date,ADC,Accounting Period,,Beginning,,Date,,,1,1,
Base,10,BAS_Accounting_Period,5,Accounting_Period_Ending_Date,Date,%10c,The calendar ending date of the current accounting period.,1,,,,BBIE,ADC_ Accounting Period. Ending. Date,ADC,Accounting Period,,Ending,,Date,,,1,1,
