id,bie,level,card,classTerm,propertyTerm,representation,associatedClass
AP01_CC06_CC02-01,RFCC,4,0..1,Activity,User ID,,User
AP01_CC06_CC02-02,BCC,4,0..1,Activity,Date,Date,
AP01_CC06_CC02-03,BCC,4,0..1,Activity,Time,Time,
AP01-16,ASBIE,2,0..1,Account Payable Adjustment,was,,Created
AP01_CC15-00,SPCC,2,__,Created,is a,,Activity
AP01_CC15_CC02-00,ACC,3,__,Activity,,,
AP01_CC15_CC02-01,RFCC,4,0..1,Activity,User ID,,User
AP01_CC15_CC02-02,BCC,4,0..1,Activity,Date,Date,
AP01_CC15_CC02-03,BCC,4,0..1,Activity,Time,Time,
AP01-17,ASBIE,2,0..1,Account Payable Adjustment,was,,Last Modified
AP01_CC22-00,SPCC,2,__,Last Modified,is a,,Activity
AP01_CC22_CC02-00,ACC,3,__,Activity,,,
AP01_CC22_CC02-01,RFCC,4,0..1,Activity,User ID,,User
AP01_CC22_CC02-02,BCC,4,0..1,Activity,Date,Date,
AP01_CC22_CC02-03,BCC,4,0..1,Activity,Time,Time,
AP01-15,ASBIE,2,0..*,Account Payable Adjustment,has a,,Business Segment
AP01_BS04-00,ABIE,2,__,Business Segment,,,
AP01_BS04-01,PKBIE,3,1..1,Business Segment,Business Segment Code,Identifier,
AP01_BS04-02,BBIE,3,0..1,Business Segment,Business Segment Name,Name,
AP01_BS04-03,BBIE,3,0..1,Business Segment,Segment Reference Level,Reference Level,
AP01_BS04-04,BBIE,3,0..1,Business Segment,Organization Type Name,Name,
AP01-18,ASBIE,2,0..*,Account Payable Adjustment,has a,,Tax
AP01_CC30-00,ACC,2,__,Tax,,,
AP01_CC30-01,RFCC,3,0..1,Tax,Tax Type Code,,Tax Type
AP01_CC30-02,BCC,3,0..1,Tax,Tax Local Amount,Amount,
AP01_CC30-03,BCC,3,0..1,Tax,Tax Transaction Amount,Amount,
AP01_CC30-04,RFCC,3,0..1,Tax,GL Tax Debit Account Number,,Chart Of Accounts
AP01_CC30-05,RFCC,3,0..1,Tax,GL Tax Credit Account Number,,Chart Of Accounts
AP01-19,ASBIE,2,1..*,Account Payable Adjustment,has a,,Account Payable Adjustment Details
AP01_AP02-00,ABIE,2,__,Account Payable Adjustment Details,,,
AP01_AP02-01,RFBIE,3,0..1,Account Payable Adjustment Details,Adjustment ID,,Account Payable Adjustment
AP01_AP02-02,PKBIE,3,1..1,Account Payable Adjustment Details,Adjustment Line ID,Identifier,
AP01_AP02-03,BBIE,3,0..1,Account Payable Adjustment Details,Adjustment Line Number,Text,
AP01_AP02-04,RFBIE,3,0..1,Account Payable Adjustment Details,Invoice ID,,Invoice Received
AP01_AP02-05,RFBIE,3,0..1,Account Payable Adjustment Details,Invoice Line ID,,Invoice Received Details
AP01_AP02-06,RFBIE,3,0..1,Account Payable Adjustment Details,Journal ID,,GL Details
AP01_AP02-07,RFBIE,3,0..1,Account Payable Adjustment Details,GL Debit Account Number,,Chart Of Accounts
AP01_AP02-08,RFBIE,3,0..1,Account Payable Adjustment Details,GL Credit Account Number,,Chart Of Accounts
AP01_AP02-09,ASBIE,3,0..1,Account Payable Adjustment Details,has a,,Adjustment Amount
AP01_AP02_CC04-00,SPCC,3,__,Adjustment Amount,is a,,Monetary Amounts
AP01_AP02_CC04_CC24-00,ACC,4,__,Monetary Amounts,,,
AP01_AP02_CC04_CC24-01,BCC,5,0..1,Monetary Amounts,Functional Amount,Amount,
AP01_AP02_CC04_CC24-02,RFCC,5,0..1,Monetary Amounts,Functional Currency Code,,Currency
AP01_AP02_CC04_CC24-03,BCC,5,0..1,Monetary Amounts,Transaction Amount,Amount,
AP01_AP02_CC04_CC24-04,RFCC,5,0..1,Monetary Amounts,Transaction Currency Code,,Currency
AP01_AP02_CC04_CC24-05,BCC,5,0..1,Monetary Amounts,Reporting Amount,Amount,
AP01_AP02_CC04_CC24-06,RFCC,5,0..1,Monetary Amounts,Reporting Currency Code,,Currency
AP01_AP02_CC04_CC24-07,BCC,5,0..1,Monetary Amounts,Local Amount,Amount,
AP01_AP02_CC04_CC24-08,RFCC,5,0..1,Monetary Amounts,Local Currency Code,,Currency
AP01_AP02-10,ASBIE,3,0..*,Account Payable Adjustment Details,has a,,Business Segment
AP01_AP02_BS04-00,ABIE,3,__,Business Segment,,,
AP01_AP02_BS04-01,PKBIE,4,1..1,Business Segment,Business Segment Code,Identifier,
AP01_AP02_BS04-02,BBIE,4,0..1,Business Segment,Business Segment Name,Name,
AP01_AP02_BS04-03,BBIE,4,0..1,Business Segment,Segment Reference Level,Reference Level,
AP01_AP02_BS04-04,BBIE,4,0..1,Business Segment,Organization Type Name,Name,
AP01_AP02-11,ASBIE,3,0..*,Account Payable Adjustment Details,has a,,Tax
AP01_AP02_CC30-00,ACC,3,__,Tax,,,
AP01_AP02_CC30-01,RFCC,4,0..1,Tax,Tax Type Code,,Tax Type
AP01_AP02_CC30-02,BCC,4,0..1,Tax,Tax Local Amount,Amount,
AP01_AP02_CC30-03,BCC,4,0..1,Tax,Tax Transaction Amount,Amount,
AP01_AP02_CC30-04,RFCC,4,0..1,Tax,GL Tax Debit Account Number,,Chart Of Accounts
AP01_AP02_CC30-05,RFCC,4,0..1,Tax,GL Tax Credit Account Number,,Chart Of Accounts
AP03-00,ABIE,1,__,Account Payable Cash Application,,,
AP03-01,PKBIE,2,1..1,Account Payable Cash Application,AP Application ID,Identifier,
AP03-02,RFBIE,2,0..1,Account Payable Cash Application,Fiscal Year,,Accounting Period
AP03-03,RFBIE,2,0..1,Account Payable Cash Application,Accounting Period,,Accounting Period
AP03-04,BBIE,2,0..1,Account Payable Cash Application,AP Application Date,Date,
AP03-05,RFBIE,2,0..1,Account Payable Cash Application,Supplier Account ID,,Supplier
AP03-06,RFBIE,2,0..1,Account Payable Cash Application,Payment ID,,Payment Made
AP03-07,RFBIE,2,0..1,Account Payable Cash Application,Invoice ID,,Invoice Received
AP03-08,RFBIE,2,0..1,Account Payable Cash Application,Settlement Method Code,,Settlement Method
AP03-09,BBIE,2,0..1,Account Payable Cash Application,Remark,Text,
AP03-10,RFBIE,2,0..1,Account Payable Cash Application,GL Debit Account Number,,Chart Of Accounts
AP03-11,RFBIE,2,0..1,Account Payable Cash Application,GL Credit Account Number,,Chart Of Accounts
AP03-12,ASBIE,2,0..1,Account Payable Cash Application,has a,,Amount
AP03_CC05-00,SPCC,2,__,Amount,is a,,Monetary Amounts
AP03_CC05_CC24-00,ACC,3,__,Monetary Amounts,,,
AP03_CC05_CC24-01,BCC,4,0..1,Monetary Amounts,Functional Amount,Amount,
AP03_CC05_CC24-02,RFCC,4,0..1,Monetary Amounts,Functional Currency Code,,Currency
AP03_CC05_CC24-03,BCC,4,0..1,Monetary Amounts,Transaction Amount,Amount,
AP03_CC05_CC24-04,RFCC,4,0..1,Monetary Amounts,Transaction Currency Code,,Currency
AP03_CC05_CC24-05,BCC,4,0..1,Monetary Amounts,Reporting Amount,Amount,
AP03_CC05_CC24-06,RFCC,4,0..1,Monetary Amounts,Reporting Currency Code,,Currency
AP03_CC05_CC24-07,BCC,4,0..1,Monetary Amounts,Local Amount,Amount,
AP03_CC05_CC24-08,RFCC,4,0..1,Monetary Amounts,Local Currency Code,,Currency
AP03-13,ASBIE,2,0..1,Account Payable Cash Application,was,,Approved
AP03_CC06-00,SPCC,2,__,Approved,is a,,Activity
AP03_CC06_CC02-00,ACC,3,__,Activity,,,
AP03_CC06_CC02-01,RFCC,4,0..1,Activity,User ID,,User
AP03_CC06_CC02-02,BCC,4,0..1,Activity,Date,Date,
AP03_CC06_CC02-03,BCC,4,0..1,Activity,Time,Time,
AP03-15,ASBIE,2,0..1,Account Payable Cash Application,was,,Created
AP03_CC15-00,SPCC,2,__,Created,is a,,Activity
AP03_CC15_CC02-00,ACC,3,__,Activity,,,
AP03_CC15_CC02-01,RFCC,4,0..1,Activity,User ID,,User
AP03_CC15_CC02-02,BCC,4,0..1,Activity,Date,Date,
AP03_CC15_CC02-03,BCC,4,0..1,Activity,Time,Time,
AP03-16,ASBIE,2,0..1,Account Payable Cash Application,was,,Last Modified
AP03_CC22-00,SPCC,2,__,Last Modified,is a,,Activity
AP03_CC22_CC02-00,ACC,3,__,Activity,,,
AP03_CC22_CC02-01,RFCC,4,0..1,Activity,User ID,,User
AP03_CC22_CC02-02,BCC,4,0..1,Activity,Date,Date,
AP03_CC22_CC02-03,BCC,4,0..1,Activity,Time,Time,
AP03-14,ASBIE,2,0..*,Account Payable Cash Application,has a,,Business Segment
AP03_BS04-00,ABIE,2,__,Business Segment,,,
AP03_BS04-01,PKBIE,3,1..1,Business Segment,Business Segment Code,Identifier,
AP03_BS04-02,BBIE,3,0..1,Business Segment,Business Segment Name,Name,
AP03_BS04-03,BBIE,3,0..1,Business Segment,Segment Reference Level,Reference Level,
AP03_BS04-04,BBIE,3,0..1,Business Segment,Organization Type Name,Name,
AP04-00,ABIE,1,__,Open Account Payable,,,
AP04-01,PKBIE,2,1..1,Open Account Payable,Transaction ID,Identifier,
AP04-02,RFBIE,2,0..1,Open Account Payable,Invoice ID,,Invoice Received
AP04-03,RFBIE,2,0..1,Open Account Payable,Supplier Account ID,,Supplier
AP04-04,RFBIE,2,0..1,Open Account Payable,Purchase Contract ID,,Purchase Contract
AP04-05,RFBIE,2,0..1,Open Account Payable,Project ID,,Project
AP04-06,RFBIE,2,0..1,Open Account Payable,Fiscal Year,,Accounting Period
AP04-07,RFBIE,2,0..1,Open Account Payable,Accounting Period,,Accounting Period
AP04-08,BBIE,2,0..1,Open Account Payable,Transaction Date,Date,
AP04-09,RFBIE,2,0..1,Open Account Payable,Journal ID,,GL Details
AP04-10,BBIE,2,0..1,Open Account Payable,Transaction Due Date,Date,
AP04-11,BBIE,2,0..1,Open Account Payable,Reference Number,Text,
AP04-12,BBIE,2,0..1,Open Account Payable,Reference Date,Date,
AP04-13,BBIE,2,0..1,Open Account Payable,Remark,Text,
AP04-14,BBIE,2,0..1,Open Account Payable,Grouping Code,Text,
AP04-15,ASBIE,2,0..1,Open Account Payable,has a,,Amount
AP04_CC05-00,SPCC,2,__,Amount,is a,,Monetary Amounts
AP04_CC05_CC24-00,ACC,3,__,Monetary Amounts,,,
AP04_CC05_CC24-01,BCC,4,0..1,Monetary Amounts,Functional Amount,Amount,
AP04_CC05_CC24-02,RFCC,4,0..1,Monetary Amounts,Functional Currency Code,,Currency
AP04_CC05_CC24-03,BCC,4,0..1,Monetary Amounts,Transaction Amount,Amount,
AP04_CC05_CC24-04,RFCC,4,0..1,Monetary Amounts,Transaction Currency Code,,Currency
AP04_CC05_CC24-05,BCC,4,0..1,Monetary Amounts,Reporting Amount,Amount,
AP04_CC05_CC24-06,RFCC,4,0..1,Monetary Amounts,Reporting Currency Code,,Currency
AP04_CC05_CC24-07,BCC,4,0..1,Monetary Amounts,Local Amount,Amount,
AP04_CC05_CC24-08,RFCC,4,0..1,Monetary Amounts,Local Currency Code,,Currency
AP04-16,ASBIE,2,0..1,Open Account Payable,has a,,Balance
AP04_CC07-00,SPCC,2,__,Balance,is a,,Balance Monetary Amounts
AP04_CC07_CC08-00,ACC,3,__,Balance Monetary Amounts,,,
AP04_CC07_CC08-01,BCC,4,0..1,Balance Monetary Amounts,Functional Balance,Amount,
AP04_CC07_CC08-02,BCC,4,0..1,Balance Monetary Amounts,Transaction Balance,Amount,
AP04_CC07_CC08-03,BCC,4,0..1,Balance Monetary Amounts,Reporting Balance,Amount,
AP04_CC07_CC08-04,BCC,4,0..1,Balance Monetary Amounts,Local Balance,Amount,
AP04-17,ASBIE,2,0..*,Open Account Payable,has a,,Business Segment
AP04_BS04-00,ABIE,2,__,Business Segment,,,
AP04_BS04-01,PKBIE,3,1..1,Business Segment,Business Segment Code,Identifier,
AP04_BS04-02,BBIE,3,0..1,Business Segment,Business Segment Name,Name,
AP04_BS04-03,BBIE,3,0..1,Business Segment,Segment Reference Level,Reference Level,
AP04_BS04-04,BBIE,3,0..1,Business Segment,Organization Type Name,Name,
AP05-00,ABIE,1,__,Payment Made,,,
AP05-01,PKBIE,2,1..1,Payment Made,Payment ID,Identifier,
AP05-02,BBIE,2,0..1,Payment Made,Payment Number,Text,
AP05-03,RFBIE,2,0..1,Payment Made,Supplier Account ID,,Supplier
AP05-04,RFBIE,2,0..1,Payment Made,Purchase Contract ID,,Purchase Contract
AP05-05,RFBIE,2,0..1,Payment Made,Project ID,,Project
AP05-06,RFBIE,2,0..1,Payment Made,Journal ID,,GL Details
AP05-07,RFBIE,2,0..1,Payment Made,Fiscal Year,,Accounting Period
AP05-08,RFBIE,2,0..1,Payment Made,Accounting Period,,Accounting Period
AP05-09,BBIE,2,0..1,Payment Made,Payment Date,Date,
AP05-10,RFBIE,2,0..1,Payment Made,Settlement Method Code,,Settlement Method
AP05-11,BBIE,2,0..1,Payment Made,Reference Number,Text,
AP05-12,BBIE,2,0..1,Payment Made,Reference Date,Date,
AP05-13,BBIE,2,0..1,Payment Made,Amount Credit Debit Indicator,Credit Debit_  Code,
AP05-14,BBIE,2,0..1,Payment Made,Remark,Text,
AP05-15,RFBIE,2,0..1,Payment Made,GL Debit Account Number,,Chart Of Accounts
AP05-16,RFBIE,2,0..1,Payment Made,GL Credit Account Number,,Chart Of Accounts
AP05-17,ASBIE,2,0..1,Payment Made,has a,,Amount
AP05_CC05-00,SPCC,2,__,Amount,is a,,Monetary Amounts
AP05_CC05_CC24-00,ACC,3,__,Monetary Amounts,,,
AP05_CC05_CC24-01,BCC,4,0..1,Monetary Amounts,Functional Amount,Amount,
AP05_CC05_CC24-02,RFCC,4,0..1,Monetary Amounts,Functional Currency Code,,Currency
AP05_CC05_CC24-03,BCC,4,0..1,Monetary Amounts,Transaction Amount,Amount,
AP05_CC05_CC24-04,RFCC,4,0..1,Monetary Amounts,Transaction Currency Code,,Currency
AP05_CC05_CC24-05,BCC,4,0..1,Monetary Amounts,Reporting Amount,Amount,
AP05_CC05_CC24-06,RFCC,4,0..1,Monetary Amounts,Reporting Currency Code,,Currency
AP05_CC05_CC24-07,BCC,4,0..1,Monetary Amounts,Local Amount,Amount,
AP05_CC05_CC24-08,RFCC,4,0..1,Monetary Amounts,Local Currency Code,,Currency
AP05-18,ASBIE,2,0..1,Payment Made,was,,Approved
AP05_CC06-00,SPCC,2,__,Approved,is a,,Activity
AP05_CC06_CC02-00,ACC,3,__,Activity,,,
AP05_CC06_CC02-01,RFCC,4,0..1,Activity,User ID,,User
AP05_CC06_CC02-02,BCC,4,0..1,Activity,Date,Date,
AP05_CC06_CC02-03,BCC,4,0..1,Activity,Time,Time,
AP05-20,ASBIE,2,0..1,Payment Made,was,,Created
AP05_CC15-00,SPCC,2,__,Created,is a,,Activity
AP05_CC15_CC02-00,ACC,3,__,Activity,,,
AP05_CC15_CC02-01,RFCC,4,0..1,Activity,User ID,,User
AP05_CC15_CC02-02,BCC,4,0..1,Activity,Date,Date,
AP05_CC15_CC02-03,BCC,4,0..1,Activity,Time,Time,
AP05-21,ASBIE,2,0..1,Payment Made,was,,Last Modified
AP05_CC22-00,SPCC,2,__,Last Modified,is a,,Activity
AP05_CC22_CC02-00,ACC,3,__,Activity,,,
AP05_CC22_CC02-01,RFCC,4,0..1,Activity,User ID,,User
AP05_CC22_CC02-02,BCC,4,0..1,Activity,Date,Date,
AP05_CC22_CC02-03,BCC,4,0..1,Activity,Time,Time,
AP05-19,ASBIE,2,0..*,Payment Made,has a,,Business Segment
AP05_BS04-00,ABIE,2,__,Business Segment,,,
AP05_BS04-01,PKBIE,3,1..1,Business Segment,Business Segment Code,Identifier,
AP05_BS04-02,BBIE,3,0..1,Business Segment,Business Segment Name,Name,
AP05_BS04-03,BBIE,3,0..1,Business Segment,Segment Reference Level,Reference Level,
AP05_BS04-04,BBIE,3,0..1,Business Segment,Organization Type Name,Name,
AR01-00,ABIE,1,__,Account Receivable  Adjustment,,,
AR01-01,PKBIE,2,1..1,Account Receivable Adjustment,Adjustment ID,Identifier,
AR01-02,BBIE,2,0..1,Account Receivable Adjustment,Adjustment Number,Text,
AR01-03,BBIE,2,0..1,Account Receivable Adjustment,Adjustment Type Name,Text,
AR01-04,BBIE,2,0..1,Account Receivable Adjustment,Adjustment Document Number,Text,
AR01-05,RFBIE,2,0..1,Account Receivable Adjustment,Invoice ID,,Invoice Generated
AR01-06,RFBIE,2,0..1,Account Receivable Adjustment,Journal ID,,GL Details
AR01-07,RFBIE,2,0..1,Account Receivable Adjustment,Fiscal Year,,Accounting Period
AR01-08,RFBIE,2,0..1,Account Receivable Adjustment,Accounting Period,,Accounting Period
AR01-09,BBIE,2,0..1,Account Receivable Adjustment,Adjustment Date,Date,
AR01-10,RFBIE,2,0..1,Account Receivable Adjustment,Customer Account ID,,Customer
AR01-11,RFBIE,2,0..1,Account Receivable Adjustment,GL Debit Account Number,,Chart Of Accounts
AR01-12,RFBIE,2,0..1,Account Receivable Adjustment,GL Credit Account Number,,Chart Of Accounts
AR01-13,ASBIE,2,0..1,Account Receivable Adjustment,has a,,Adjustment Amount
AR01_CC04-00,SPCC,2,__,Adjustment Amount,is a,,Monetary Amounts
AR01_CC04_CC24-00,ACC,3,__,Monetary Amounts,,,
AR01_CC04_CC24-01,BCC,4,0..1,Monetary Amounts,Functional Amount,Amount,
AR01_CC04_CC24-02,RFCC,4,0..1,Monetary Amounts,Functional Currency Code,,Currency
AR01_CC04_CC24-03,BCC,4,0..1,Monetary Amounts,Transaction Amount,Amount,
AR01_CC04_CC24-04,RFCC,4,0..1,Monetary Amounts,Transaction Currency Code,,Currency
AR01_CC04_CC24-05,BCC,4,0..1,Monetary Amounts,Reporting Amount,Amount,
AR01_CC04_CC24-06,RFCC,4,0..1,Monetary Amounts,Reporting Currency Code,,Currency
AR01_CC04_CC24-07,BCC,4,0..1,Monetary Amounts,Local Amount,Amount,
AR01_CC04_CC24-08,RFCC,4,0..1,Monetary Amounts,Local Currency Code,,Currency
AR01-14,ASBIE,2,0..1,Account Receivable Adjustment,was,,Approved
AR01_CC06-00,SPCC,2,__,Approved,is a,,Activity
AR01_CC06_CC02-00,ACC,3,__,Activity,,,
AR01_CC06_CC02-01,RFCC,4,0..1,Activity,User ID,,User
AR01_CC06_CC02-02,BCC,4,0..1,Activity,Date,Date,
AR01_CC06_CC02-03,BCC,4,0..1,Activity,Time,Time,
AR01-16,ASBIE,2,0..1,Account Receivable Adjustment,was,,Created
AR01_CC15-00,SPCC,2,__,Created,is a,,Activity
AR01_CC15_CC02-00,ACC,3,__,Activity,,,
AR01_CC15_CC02-01,RFCC,4,0..1,Activity,User ID,,User
AR01_CC15_CC02-02,BCC,4,0..1,Activity,Date,Date,
AR01_CC15_CC02-03,BCC,4,0..1,Activity,Time,Time,
AR01-17,ASBIE,2,0..1,Account Receivable Adjustment,was,,Last Modified
AR01_CC22-00,SPCC,2,__,Last Modified,is a,,Activity
AR01_CC22_CC02-00,ACC,3,__,Activity,,,
AR01_CC22_CC02-01,RFCC,4,0..1,Activity,User ID,,User
AR01_CC22_CC02-02,BCC,4,0..1,Activity,Date,Date,
AR01_CC22_CC02-03,BCC,4,0..1,Activity,Time,Time,
AR01-15,ASBIE,2,0..*,Account Receivable Adjustment,has a,,Business Segment
AR01_BS04-00,ABIE,2,__,Business Segment,,,
AR01_BS04-01,PKBIE,3,1..1,Business Segment,Business Segment Code,Identifier,
AR01_BS04-02,BBIE,3,0..1,Business Segment,Business Segment Name,Name,
AR01_BS04-03,BBIE,3,0..1,Business Segment,Segment Reference Level,Reference Level,
AR01_BS04-04,BBIE,3,0..1,Business Segment,Organization Type Name,Name,
AR01-18,ASBIE,2,0..*,Account Receivable Adjustment,has a,,Tax
AR01_CC30-00,ACC,2,__,Tax,,,
AR01_CC30-01,RFCC,3,0..1,Tax,Tax Type Code,,Tax Type
AR01_CC30-02,BCC,3,0..1,Tax,Tax Local Amount,Amount,
AR01_CC30-03,BCC,3,0..1,Tax,Tax Transaction Amount,Amount,
AR01_CC30-04,RFCC,3,0..1,Tax,GL Tax Debit Account Number,,Chart Of Accounts
AR01_CC30-05,RFCC,3,0..1,Tax,GL Tax Credit Account Number,,Chart Of Accounts
AR01-19,ASBIE,2,1..*,Account Receivable Adjustment,has a,,Account Receivable Adjustment Details
AR01_AR02-00,ABIE,2,__,Account Receivable  Adjustment Details,,,
AR01_AR02-01,RFBIE,3,0..1,Account Receivable Adjustment Details,Adjustment ID,,Account Receivable Adjustment
AR01_AR02-02,PKBIE,3,1..1,Account Receivable Adjustment Details,Adjustment Line ID,Identifier,
AR01_AR02-03,BBIE,3,0..1,Account Receivable Adjustment Details,Adjustment Line Number,Text,
AR01_AR02-04,RFBIE,3,0..1,Account Receivable Adjustment Details,Invoice ID,,Invoice Generated
AR01_AR02-05,RFBIE,3,0..1,Account Receivable Adjustment Details,Invoice Line ID,,Invoice Generated Details
AR01_AR02-06,RFBIE,3,0..1,Account Receivable Adjustment Details,Journal ID,,GL Details
AR01_AR02-07,RFBIE,3,0..1,Account Receivable Adjustment Details,GL Debit Account Number,,Chart Of Accounts
AR01_AR02-08,RFBIE,3,0..1,Account Receivable Adjustment Details,GL Credit Account Number,,Chart Of Accounts
AR01_AR02-09,ASBIE,3,0..1,Account Receivable Adjustment Details,has a,,Adjustment Amount
AR01_AR02_CC04-00,SPCC,3,__,Adjustment Amount,is a,,Monetary Amounts
AR01_AR02_CC04_CC24-00,ACC,4,__,Monetary Amounts,,,
AR01_AR02_CC04_CC24-01,BCC,5,0..1,Monetary Amounts,Functional Amount,Amount,
AR01_AR02_CC04_CC24-02,RFCC,5,0..1,Monetary Amounts,Functional Currency Code,,Currency
AR01_AR02_CC04_CC24-03,BCC,5,0..1,Monetary Amounts,Transaction Amount,Amount,
AR01_AR02_CC04_CC24-04,RFCC,5,0..1,Monetary Amounts,Transaction Currency Code,,Currency
AR01_AR02_CC04_CC24-05,BCC,5,0..1,Monetary Amounts,Reporting Amount,Amount,
AR01_AR02_CC04_CC24-06,RFCC,5,0..1,Monetary Amounts,Reporting Currency Code,,Currency
AR01_AR02_CC04_CC24-07,BCC,5,0..1,Monetary Amounts,Local Amount,Amount,
AR01_AR02_CC04_CC24-08,RFCC,5,0..1,Monetary Amounts,Local Currency Code,,Currency
AR01_AR02-10,ASBIE,3,0..*,Account Receivable Adjustment Details,has a,,Business Segment
AR01_AR02_BS04-00,ABIE,3,__,Business Segment,,,
AR01_AR02_BS04-01,PKBIE,4,1..1,Business Segment,Business Segment Code,Identifier,
AR01_AR02_BS04-02,BBIE,4,0..1,Business Segment,Business Segment Name,Name,
AR01_AR02_BS04-03,BBIE,4,0..1,Business Segment,Segment Reference Level,Reference Level,
AR01_AR02_BS04-04,BBIE,4,0..1,Business Segment,Organization Type Name,Name,
AR01_AR02-11,ASBIE,3,0..*,Account Receivable Adjustment Details,has a,,Tax
AR01_AR02_CC30-00,ACC,3,__,Tax,,,
AR01_AR02_CC30-01,RFCC,4,0..1,Tax,Tax Type Code,,Tax Type
AR01_AR02_CC30-02,BCC,4,0..1,Tax,Tax Local Amount,Amount,
AR01_AR02_CC30-03,BCC,4,0..1,Tax,Tax Transaction Amount,Amount,
AR01_AR02_CC30-04,RFCC,4,0..1,Tax,GL Tax Debit Account Number,,Chart Of Accounts
AR01_AR02_CC30-05,RFCC,4,0..1,Tax,GL Tax Credit Account Number,,Chart Of Accounts
AR03-00,ABIE,1,__,Account Receivable  Cash Application,,,
AR03-01,PKBIE,2,1..1,Account Receivable Cash Application,AR Application ID,Identifier,
AR03-02,RFBIE,2,0..1,Account Receivable Cash Application,Fiscal Year,,Accounting Period
AR03-03,RFBIE,2,0..1,Account Receivable Cash Application,Accounting Period,,Accounting Period
AR03-04,BBIE,2,0..1,Account Receivable Cash Application,AR Application Date,Date,
AR03-05,RFBIE,2,0..1,Account Receivable Cash Application,Customer Account ID,,Customer
AR03-06,RFBIE,2,0..1,Account Receivable Cash Application,Receipt ID,,Account Receivable Cash Received
AR03-07,RFBIE,2,0..1,Account Receivable Cash Application,Invoice ID,,Invoice Generated
AR03-08,RFBIE,2,0..1,Account Receivable Cash Application,Settlement Method Code,,Settlement Method
AR03-09,BBIE,2,0..1,Account Receivable Cash Application,Remark,Text,
AR03-10,RFBIE,2,0..1,Account Receivable Cash Application,GL Debit Account Number,,Chart Of Accounts
AR03-11,RFBIE,2,0..1,Account Receivable Cash Application,GL Credit Account Number,,Chart Of Accounts
AR03-12,ASBIE,2,0..1,Account Receivable Cash Application,has a,,Amount
AR03_CC05-00,SPCC,2,__,Amount,is a,,Monetary Amounts
AR03_CC05_CC24-00,ACC,3,__,Monetary Amounts,,,
AR03_CC05_CC24-01,BCC,4,0..1,Monetary Amounts,Functional Amount,Amount,
AR03_CC05_CC24-02,RFCC,4,0..1,Monetary Amounts,Functional Currency Code,,Currency
AR03_CC05_CC24-03,BCC,4,0..1,Monetary Amounts,Transaction Amount,Amount,
AR03_CC05_CC24-04,RFCC,4,0..1,Monetary Amounts,Transaction Currency Code,,Currency
AR03_CC05_CC24-05,BCC,4,0..1,Monetary Amounts,Reporting Amount,Amount,
AR03_CC05_CC24-06,RFCC,4,0..1,Monetary Amounts,Reporting Currency Code,,Currency
AR03_CC05_CC24-07,BCC,4,0..1,Monetary Amounts,Local Amount,Amount,
AR03_CC05_CC24-08,RFCC,4,0..1,Monetary Amounts,Local Currency Code,,Currency
AR03-13,ASBIE,2,0..1,Account Receivable Cash Application,was,,Approved
