No,mnodule,class_id,attr_id,Trype,Level,Card,Oject Class term (entity),Property term (attribute),Representation term,Associated class,Referenced Class,(domain),Tag,Description,Ref. Object Class,Ref. Property
14,Base,BS03,04,BBIE,1,0..1,Employee,Inactive Flag,Indicator,,,BOOLEAN,InactiveFlag,Indicates whether one employee is active or inactive.An employee can become inactive due to various reasons (e.g taking a sabbatical).,,
15,Base,BS03,05,BBIE,1,0..1,Employee,Employee Type Code,Text,,,TEXT 60,EmpTypCd,"Code for the employee type. EXAMPLE 004 is an on-the job employee, 005 is a retired employee, 006 is a deceased employee, 007 is a part-time employee.  ",,
16,Base,BS03,06,BBIE,1,0..1,Employee,Employee Type Name,Text,,,TEXT 60,EmpTypNm,"Name of the employee type. EXAMPLE Employed, retired, probation, part-time.",,
17,Base,BS03,07,RFBIE,1,0..1,Employee,Department Code,,,Business Segment,IDENTIFIER 25,DepCd,"Code for department rosters. EXAMPLE The department name is IT department, the code is 0018. Shall match the Business_Segment_Code [BusSgCd] in the BAS_Business_Segment [BasBusSg] table.",BAS BUSINESS SEGMENT,Business Segment Code
18,Base,BS03,08,BBIE,1,0..1,Employee,Employee Job Title,Text,,,TEXT 60,EmpJobTitle,Job title of the person in an accounting unit.EXAMPLE Accounting manager.,,
19,Base,BS03,09,BBIE,1,0..1,Employee,Employee Academic Degree,Text,,,TEXT 60,EmpAcadDegree,"Highest academic degree acquired.EXAMPLE Doctor, Master.",,
20,Base,BS03,10,BBIE,1,0..1,Employee,Employment Date,Date,,,DATE,EmplmntDt,Employment date of the employee.,,
21,Base,BS03,11,BBIE,1,0..1,Employee,Termination Date,Date,,,DATE,TerminationDt,"Termination date of the employee from which the labor contract was no longer valid, or the employee no longer works in this department.",,
22,Base,BS03,12,RFBIE,1,0..1,Employee,User ID,,,User,IDENTIFIER 25,UserId,System user ID associated with the employee. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,BAS USER,User ID
23,Base,BS04,,ABIE,0,--,User,,,,,,BasUser,Contains the user information of accounting and/or ERP system.,,
24,Base,BS04,01,PKBIE,1,1..1,User,User ID,Identifier,,,IDENTIFIER 25,UserId,"Unique identifier for individuals entering transactions into the accounting and/or ERP system.Typically auto-generated by the system.This field is used to join information in this table to other tables based on fields such as Created_User_ID, Last_Modified_User_ID, Approved_User_ID and Posted_User_ID.",,
25,Base,BS04,02,BBIE,1,0..1,User,User Active Status,Indicator,,,BOOLEAN,UserActiveStat,"Indicates whether the status of the user is active or inactive.A user can become inactive due to retirement, dismissal or termination, etc.EXAMPLE   1 is active, 0 is inactive.",,
26,Base,BS04,03,BBIE,1,0..1,User,User Status Modified Date,Date,,,DATE,UserStatMdfDt,Modified date of the user's activation or termination status.,,
27,Base,BS04,04,BBIE,1,0..1,User,User Name,Text,,,NAME 100,UserNm,Name of the user.,,
28,Base,BS04,05,BBIE,1,0..1,User,User Job Title,Text,,,TEXT 100,UserJobTitle,Job title of the person in the system.EXAMPLE   System manager.,,
29,Base,BS04,06,RFBIE,1,0..1,User,Department Code,,,Business Segment,IDENTIFIER 25,DepCd,"Code for department rosters.EXAMPLE   The department name is IT department, the code is 0018.Shall match the Business_Segment_Code [BusSgCd] in the BAS_Business_Segment [BasBusSg] table.",BAS BUSINESS SEGMENT,Business Segment Code
30,Base,BS04,07,BBIE,1,0..1,User,User Role Responsibility,Text,,,TEXT 100,UserRoleResp,Free-form description of the individual's functional role or primary responsibility.EXAMPLE   Responsibility related to managing the information of AP in the system.,,
31,Base,BS05,,ABIE,0,--,Customer Type,,,,,,BasCustTyp,Contains detailed descriptions of the customer type.,,
32,Base,BS05,01,PKBIE,1,1..1,Customer Type,Customer Type ID,Identifier,,,IDENTIFIER 60,CustTypId,Unique identifier for the customer type. Typically auto-generated by the system.,,
33,Base,BS05,02,BBIE,1,0..1,Customer Type,Customer Type Code,Code,,,CUSTOMER TYPE CODE,CustTypCd,"Code for the customer type.EXAMPLE   004 is a platinum customer, 005 is a gold customer, 006 is a silver customer. Customer_Type_Code [CustTypCd] and Customer_Type_Name [CustTypNm] are not necessarily related.",,
34,Base,BS05,03,BBIE,1,0..1,Customer Type,Customer Type Name,Text,,,NAME 80,CustTypNm,"Name of the type categorized by the customer attributes.EXAMPLE   Platinum customer, gold customer, silver customer.",,
35,Base,BS05,04,RFBIE,1,0..1,Customer Type,Parent Customer Type ID,,,Customer Type,IDENTIFIER 60,ParCustTypId,Unique identifier for the parent customer type.Typically auto-generated by the system.Shall match the Customer_Type_ID [CustTypId] in the BAS_Customer_Type [BasCustTyp] table.,BAS CUSTOMER TYPE,Customer Type ID
36,Base,BS06,,ABIE,0,--,Customer,,,,,,BasCust,Contains essential and generic information of the customers.,,
37,Base,BS06,01,PKBIE,1,1..1,Customer,Customer Account ID,Identifier,,,IDENTIFIER 100,CustAcntId,Unique identifier for the customer. Typically auto-generated by the system.,,
38,Base,BS06,02,BBIE,1,0..1,Customer,Customer Account Number,Identifier,,,IDENTIFIER 100,CustAcntNr,Number of the customer. This number is either generated by manual input or generated by the system.,,
39,Base,BS06,03,BBIE,1,0..1,Customer,Customer Account Name,Text,,,NAME 200,CustAcntNm,Name of the customer.,,
40,Base,BS06,04,BBIE,1,0..1,Customer,Customer Abbreviation,Text,,,NAME 100,CustAbrv,Abbreviation of the customer's name.,,
41,Base,BS06,05,RFBIE,1,0..1,Customer,Parent Customer ID,,,Customer,IDENTIFIER 100,ParCustId,Unique identifier for the parent customer.Shall match the Customer_Account_ID [CustAcntId] in the BAS_Customer [BasCust] table.,BAS CUSTOMER,Customer Account ID
42,Base,BS06,06,RFBIE,1,0..1,Customer,Corresponding Supplier ID,,,Supplier,IDENTIFIER 100,CorrSuplId,"Unique identifier for the corresponding supplier in cases where the customer is also a supplier.Shall match the Supplier_Account_ID [SuplAcntId] in the BAS_Supplier [BasSupl] table. Otherwise, set NULL.",BAS SUPPLIER,Supplier Account ID
43,Base,BS06,07,RFBIE,1,0..1,Customer,Customer Type ID,,,Customer Type,IDENTIFIER 60,CustTypId,Unique identifier for the customer type.Typically auto-generated by the system.Shall match the Customer_Type_ID [CustTypId] in the BAS_Customer_Type [BasCustTyp] table.,BAS CUSTOMER TYPE,Customer Type ID
44,Base,BS06,08,BBIE,1,0..1,Customer,Customer TIN,Identifier,,,TAX IDENTIFICATION NUMBER,CustTin,Customer's tax identification number.This number is usually generated by a tax regulator.,,
45,Base,BS06,09,BBIE,1,0..1,Customer,Inactive Date,Date,,,DATE,InactiveDt,"Date when the customer was declared inactive.A customer can become inactive due to exceeding their credit limit, legal restrictions, contract termination or bankruptcy.",,
46,Base,BS06,10,BBIE,1,0..1,Customer,Transaction Credit Limit,Monatary Monatary Amount,,,AMOUNT,TrCrLimit,Per invoice credit limit established for this customer.,,
47,Base,BS06,11,BBIE,1,0..1,Customer,Total Credit Limit,Monatary Monatary Amount,,,AMOUNT,TotCrLimit,Credit limit for this customerâ€™s total outstanding balance.,,
48,Base,BS06,12,BBIE,1,0..1,Customer,Terms Discount Percentage,Percentage,,,PERCENTAGE,TrmsDscntPerc,"Discount percentage the customer can take if an invoice is paid before a certain number of days.In the flat file, terms are represented as integers to a decimal place.EXAMPLE   10 % is 0.10.",,
49,Base,BS06,13,BBIE,1,0..1,Customer,Terms Discount Days,Code,,,NUMBER 6,TrmsDscntDays,Number of days from the invoice date that the customer has to take advantage of discounted terms.Terms are represented as integers with no decimal places.EXAMPLE   10 days are 10.,,
50,Base,BS06,14,BBIE,1,0..1,Customer,Terms Due Days,Code,,,NUMBER 6,TrmsDueDays,Default number of days allowed to meet the obligation before an invoice becomes overdue.,,
51,Base,BS06,BS51,ASBIE,1,0..1,Customer,specified,,Physical Address,,,PhysAdr,Physical address information.,,
52,Base,BS51,01,BBIE,2,0..1,Physical Address,Street Address1,Text,,,TEXT 100,StreetAdr1,Line 1 of the street address.,,
53,Base,BS51,02,BBIE,2,0..1,Physical Address,Street Address2,Text,,,TEXT 100,StreetAdr2,Line 2 of the street address.,,
54,Base,BS51,03,BBIE,2,0..1,Physical Address,City Name,Text,,,CITY NAME,CityNm,City name of this address.,,
55,Base,BS51,04,BBIE,2,0..1,Physical Address,State Province Code,Code,,,STATE PROVINCE CODE,StatePrvncCd,The state or province of this address (in accordance with ISO 3166-2).,,
56,Base,BS51,05,BBIE,2,0..1,Physical Address,Postal Code,Code,,,POSTAL CODE,PostalCd,Zip or postal code of this address.,,
57,Base,BS51,06,BBIE,2,0..1,Physical Address,Country Code,Code,,,COUNTRY CODE,CntryCd,The country code of this address (in accordance with ISO 3166-1).,,
58,Base,BS06,BS52,ASBIE,1,0..1,Customer,specified,,Billing Address,,,BillAdr,Billing address information.,,
59,Base,BS52,01,BBIE,2,0..1,Billing Address,Street Address1,Text,,,TEXT 100,StreetAdr1,Line 1 of the street address.,,
60,Base,BS52,02,BBIE,2,0..1,Billing Address,Street Address2,Text,,,TEXT 100,StreetAdr2,Line 2 of the street address.,,
61,Base,BS52,03,BBIE,2,0..1,Billing Address,City Name,Text,,,CITY NAME,CityNm,City name of this address.,,
62,Base,BS52,04,BBIE,2,0..1,Billing Address,State Province Code,Code,,,STATE PROVINCE CODE,StatePrvncCd,The state or province of this address (in accordance with ISO 3166-2).,,
63,Base,BS52,05,BBIE,2,0..1,Billing Address,Postal Code,Code,,,POSTAL CODE,PostalCd,Zip or postal code of this address.,,
64,Base,BS52,06,BBIE,2,0..1,Billing Address,Country Code,Code,,,COUNTRY CODE,CntryCd,The country code of this address (in accordance with ISO 3166-1).,,
65,Base,BS06,BS53,ASBIE,1,0..1,Customer,specified,,Primary Contact,,,PrimCnt,Primary contact information.,,
66,Base,BS53,01,BBIE,2,0..1,Primary Contact,Name,Text,,,NAME 100,Nm,Name of the contact.,,
67,Base,BS53,02,BBIE,2,0..1,Primary Contact,Phone,Code,,,PHONE NUMBER,Phone,The phone number of the contact.,,
68,Base,BS53,03,BBIE,2,0..1,Primary Contact,Email,Code,,,EMAIL,Email,The email address of the contact.,,
69,Base,BS06,BS54,ASBIE,1,0..1,Customer,specified,,Created,,,Crea,Information about the data that was created into the system.,,
70,Base,BS54,01,RFBIE,2,0..1,Created,User ID,,,User,IDENTIFIER 25,UserId,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,BAS USER,User ID
71,Base,BS54,02,BBIE,2,0..1,Created,Date,Date,,,DATE,Dt,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",,
72,Base,BS54,03,BBIE,2,0..1,Created,Time,Time,,,TIME,Tm,The time of activity.,,
73,Base,BS06,BS55,ASBIE,1,0..1,Customer,specified,,Approved,,,Aprv,Information about the data was approved within the system.,,
74,Base,BS55,01,RFBIE,2,0..1,Approved,User ID,,,User,IDENTIFIER 25,UserId,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,BAS USER,User ID
75,Base,BS55,02,BBIE,2,0..1,Approved,Date,Date,,,DATE,Dt,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",,
76,Base,BS55,03,BBIE,2,0..1,Approved,Time,Time,,,TIME,Tm,The time of activity.,,
77,Base,BS06,BS56,ASBIE,1,0..1,Customer,specified,,Last Modified,,,LstMdf,Information about the data was  last modified within the system.,,
78,Base,BS56,01,RFBIE,2,0..1,Last Modified,User ID,,,User,IDENTIFIER 25,UserId,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,BAS USER,User ID
79,Base,BS56,02,BBIE,2,0..1,Last Modified,Date,Date,,,DATE,Dt,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",,
80,Base,BS56,03,BBIE,2,0..1,Last Modified,Time,Time,,,TIME,Tm,The time of activity.,,
81,Base,BS07,,ABIE,0,--,Supplier Type,,,,,,BasSuplTyp,Contains detailed descriptions of the supplier type.,,
82,Base,BS07,01,PKBIE,1,1..1,Supplier Type,Supplier Type ID,Identifier,,,IDENTIFIER 60,SuplTypId,Unique identifier for the supplier type. Typically auto-generated by the system.,,
83,Base,BS07,02,BBIE,1,0..1,Supplier Type,Supplier Type Code,Code,,,SUPPLIER TYPE CODE,SuplTypCd,"Code for the supplier type.EXAMPLE   004 is preferred suppliers, 005 is key suppliers, 006 is common suppliers.",,
84,Base,BS07,03,BBIE,1,0..1,Supplier Type,Supplier Type Name,Text,,,NAME 80,SuplTypNm,"Name of the type categorized by the supplier attributes.EXAMPLE   Preferred supplier, key supplier, common supplier.",,
85,Base,BS07,04,RFBIE,1,0..1,Supplier Type,Parent Supplier Type ID,,,Supplier Type,IDENTIFIER 60,ParSuplTypId,Unique identifier for the parent supplier type.EXAMPLE   Raw material supplier is a parent type of iron supplier.Typically auto-generated by the system.Shall match the Supplier_Type_ID [SuplTypId] in the BAS_Supplier_Type [BasSuplTyp] table.,BAS SUPPLIER TYPE,Supplier Type ID
86,Base,BS08,,ABIE,0,--,Supplier,,,,,,BasSupl,Contains essential and generic information of the suppliers.,,
87,Base,BS08,01,PKBIE,1,1..1,Supplier,Supplier Account ID,Identifier,,,IDENTIFIER 100,SuplAcntId,Unique identifier for the supplier to whom payment is due or from whom unused credits have been applied.Typically auto-generated by the system.,,
88,Base,BS08,02,IDBIE,1,0..1,Supplier,Supplier Account Number,Identifier,,,IDENTIFIER 100,SuplAcntNr,Number of the supplier to whom payment is due or from whom unused credits have been applied.This number is usually generated by manual input or is generated by the system.,,
89,Base,BS08,03,BBIE,1,0..1,Supplier,Supplier Account Name,Text,,,NAME 200,SuplAcntNm,Name of the supplier.,,
90,Base,BS08,04,BBIE,1,0..1,Supplier,Supplier Abbreviation,Text,,,NAME 100,SuplAbrv,Abbreviation form of the supplier's name.,,
91,Base,BS08,05,RFBIE,1,0..1,Supplier,Parent Supplier ID,,,Supplier,IDENTIFIER 100,ParSuplId,Unique identifier for the parent supplier.Typically auto-generated by the system.Shall match the Supplier_Account_ID [SuplAcntId] in the BAS_Supplier [BasSupl] table.,BAS SUPPLIER,Supplier Account ID
92,Base,BS08,06,RFBIE,1,0..1,Supplier,Corresponding Customer ID,,,Customer,IDENTIFIER 100,CorrCustId,"Unique identifier for the corresponding customer in cases where the supplier is also a customer.Typically auto-generated by the system.Shall match the Customer_Account_ID [CustAcntId] in the BAS_Customer [BasCust] table. Otherwise, set NULL.",BAS CUSTOMER,Customer Account ID
93,Base,BS08,07,RFBIE,1,0..1,Supplier,Supplier Type ID,,,Supplier Type,IDENTIFIER 60,SuplTypId,Unique identifier for the supplier type.Typically auto-generated by the system.Shall match the Supplier_Type_ID [SuplTypId] in the BAS_Supplier_Type [BasSuplTyp] table.,BAS SUPPLIER TYPE,Supplier Type ID
94,Base,BS08,08,BBIE,1,0..1,Supplier,Supplier TIN,Identifier,,,TAX IDENTIFICATION NUMBER,SuplTin,Supplier's tax identification number.This number is usually generated by the tax regulator.,,
95,Base,BS08,09,BBIE,1,0..1,Supplier,Supplier Group,Text,,,TEXT 100,SuplGroup,Supplier group assignments when the organization segments the suppliers.,,
96,Base,BS08,10,BBIE,1,0..1,Supplier,Inactive Date,Date,,,DATE,InactiveDt,"Date when the supplier was declared inactive.A supplier can become inactive due to exceeding their credit limit, legal restrictions, contract termination or bankruptcy.",,
97,Base,BS08,11,BBIE,1,0..1,Supplier,Transaction Credit Limit,Monatary Monatary Amount,,,AMOUNT,TrCrLimit,Per invoice credit limit established for this supplier.,,
98,Base,BS08,12,BBIE,1,0..1,Supplier,Total Credit Limit,Monatary Monatary Amount,,,AMOUNT,TotCrLimit,Credit limit for the total outstanding balance approved for the supplier.,,
99,Base,BS08,13,BBIE,1,0..1,Supplier,Terms Discount Percentage,Percentage,,,PERCENTAGE,TrmsDscntPerc,"Discount percentage the supplier can provide if an invoice is paid before a certain number of days.In the flat file, terms are represented as integers to a decimal place.EXAMPLE   10 % is 0.10.",,
100,Base,BS08,14,BBIE,1,0..1,Supplier,Terms Discount Days,Code,,,NUMBER 6,TrmsDscntDays,Number of days from the invoice date that the supplier allows the customer to take advantage of discounted terms.Terms are represented as integers with no decimal places.EXAMPLE   10 days is 10.,,
101,Base,BS08,15,BBIE,1,0..1,Supplier,Terms Due Days,Code,,,NUMBER 6,TrmsDueDays,Number of days allowed to meet the obligation before an invoice becomes overdue.,,
102,Base,BS08,BS57,ASBIE,1,0..1,Supplier,specified,,Physical Address,,,PhysAdr,Physical address information.,,
103,Base,BS57,01,BBIE,2,0..1,Physical Address,Street Address1,Text,,,TEXT 100,StreetAdr1,Line 1 of the street address.,,
104,Base,BS57,02,BBIE,2,0..1,Physical Address,Street Address2,Text,,,TEXT 100,StreetAdr2,Line 2 of the street address.,,
105,Base,BS57,03,BBIE,2,0..1,Physical Address,City Name,Text,,,CITY NAME,CityNm,City name of this address.,,
106,Base,BS57,04,BBIE,2,0..1,Physical Address,State Province Code,Code,,,STATE PROVINCE CODE,StatePrvncCd,The state or province of this address (in accordance with ISO 3166-2).,,
107,Base,BS57,05,BBIE,2,0..1,Physical Address,Postal Code,Code,,,POSTAL CODE,PostalCd,Zip or postal code of this address.,,
108,Base,BS57,06,BBIE,2,0..1,Physical Address,Country Code,Code,,,COUNTRY CODE,CntryCd,The country code of this address (in accordance with ISO 3166-1).,,
109,Base,BS08,BS58,ASBIE,1,0..1,Supplier,specified,,Billing Address,,,BillAdr,Billing address information.,,
110,Base,BS58,01,BBIE,2,0..1,Billing Address,Street Address1,Text,,,TEXT 100,StreetAdr1,Line 1 of the street address.,,
111,Base,BS58,02,BBIE,2,0..1,Billing Address,Street Address2,Text,,,TEXT 100,StreetAdr2,Line 2 of the street address.,,
112,Base,BS58,03,BBIE,2,0..1,Billing Address,City Name,Text,,,CITY NAME,CityNm,City name of this address.,,
113,Base,BS58,04,BBIE,2,0..1,Billing Address,State Province Code,Code,,,STATE PROVINCE CODE,StatePrvncCd,The state or province of this address (in accordance with ISO 3166-2).,,
114,Base,BS58,05,BBIE,2,0..1,Billing Address,Postal Code,Code,,,POSTAL CODE,PostalCd,Zip or postal code of this address.,,
115,Base,BS58,06,BBIE,2,0..1,Billing Address,Country Code,Code,,,COUNTRY CODE,CntryCd,The country code of this address (in accordance with ISO 3166-1).,,
116,Base,BS08,BS59,ASBIE,1,0..1,Supplier,specified,,Primary Contact,,,PrimCnt,Primary contact information.,,
117,Base,BS59,01,BBIE,2,0..1,Primary Contact,Name,Text,,,NAME 100,Nm,Name of the contact.,,
118,Base,BS59,02,BBIE,2,0..1,Primary Contact,Phone,Code,,,PHONE NUMBER,Phone,The phone number of the contact.,,
119,Base,BS59,03,BBIE,2,0..1,Primary Contact,Email,Code,,,EMAIL,Email,The email address of the contact.,,
120,Base,BS08,BS60,ASBIE,1,0..1,Supplier,specified,,Created,,,Crea,Information about the data that was created into the system.,,
121,Base,BS60,01,RFBIE,2,0..1,Created,User ID,,,User,IDENTIFIER 25,UserId,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,BAS USER,User ID
122,Base,BS60,02,BBIE,2,0..1,Created,Date,Date,,,DATE,Dt,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",,
123,Base,BS60,03,BBIE,2,0..1,Created,Time,Time,,,TIME,Tm,The time of activity.,,
124,Base,BS08,BS61,ASBIE,1,0..1,Supplier,specified,,Approved,,,Aprv,Information about the data was approved within the system.,,
125,Base,BS61,01,RFBIE,2,0..1,Approved,User ID,,,User,IDENTIFIER 25,UserId,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,BAS USER,User ID
126,Base,BS61,02,BBIE,2,0..1,Approved,Date,Date,,,DATE,Dt,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",,
127,Base,BS61,03,BBIE,2,0..1,Approved,Time,Time,,,TIME,Tm,The time of activity.,,
128,Base,BS08,BS62,ASBIE,1,0..1,Supplier,specified,,Last Modified,,,LstMdf,Information about the data was  last modified within the system.,,
129,Base,BS62,01,RFBIE,2,0..1,Last Modified,User ID,,,User,IDENTIFIER 25,UserId,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,BAS USER,User ID
130,Base,BS62,02,BBIE,2,0..1,Last Modified,Date,Date,,,DATE,Dt,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",,
131,Base,BS62,03,BBIE,2,0..1,Last Modified,Time,Time,,,TIME,Tm,The time of activity.,,
132,Base,BS09,,ABIE,0,--,Chart Of Accounts,,,,,,BasChartOfAcnts,"Contains the information about GL accounts, including name, description, type and hierarchy. This table is level 1. When it is cross-referred by other table(s), consistency shall apply. For example, in this table, the value of GL_Account_Number [GlAcntNr] is 101, the value of GL_Account_Name [GlAcntNm] is cash, and the value of Balance_Debit_Or_Credit is D. If the value of GL_Account_Number [GlAcntNr] in GL_Trial_Balance [GlTrialBal] table is 101, then the Amount corresponding with cash account (101) must be debit.",,
133,Base,BS09,01,PKBIE,1,1..1,Chart Of Accounts,GL Account Number,Identifier,,,GL ACCOUNT NUMBER 100,GlAcntNr,Number of the GL account.,,
134,Base,BS09,02,BBIE,1,0..1,Chart Of Accounts,GL Account Name,Text,,,TEXT 100,GlAcntNm,Name of the GL account.,,
135,Base,BS09,03,BBIE,1,0..1,Chart Of Accounts,GL Account Description,Text,,,TEXT 1000,GlAcntDscr,Label or description associated with the GL_Account_Number [GlAcntNr].,,
136,Base,BS09,04,BBIE,1,0..1,Chart Of Accounts,Financial Statement Caption,Text,,,TEXT 100,FsCaption,"Financial statement caption that represents a related group of accounts.EXAMPLE   Cash and cash equivalents, AP, cost of sales.The caption can be at the trial balance level.",,
137,Base,BS09,05,BBIE,1,0..1,Chart Of Accounts,Account Type,Code,,,ACCOUNT TYPE,AcntTyp,"Type of account.EXAMPLE   Assets, liabilities, equity, revenues, expenses.",,
138,Base,BS09,06,BBIE,1,0..1,Chart Of Accounts,Account Subtype,Code,,,ACCOUNT TYPE,AcntSubtyp,Subtype of the account.EXAMPLE   Current assets are the subtype of assets.,,
139,Base,BS09,07,BBIE,1,0..1,Chart Of Accounts,Account Hierarchy,Code,,,ACCOUNT HIERARCHY,AcntHrchy,"Corresponding level for account number in the account hierarchy.EXAMPLE   1 is assets, 2 is the account subtype current assets.",,
140,Base,BS09,08,RFBIE,1,0..1,Chart Of Accounts,Parent GL Account Number,,,Chart Of Accounts,GL ACCOUNT NUMBER 100,ParGlAcntNr,"Number of the parent account in an account hierarchy.This is provided to allow more than the predefined levels of the hierarchy in the BAS_Chart_Of_Accounts [BasChartOfAcnts] table.When Parent_GL_Account_Number [ParGlAcntNr] is the highest level, its value can be set to the default value (e.g. set to NULL).Shall match the GL_Account_Number [GlAcntNr] in the BAS_Chart_Of_Accounts [BasChartOfAcnts] table.",BAS CHART OF ACCOUNTS,GL Account Number
141,Base,BS09,09,BBIE,1,0..1,Chart Of Accounts,Balance Debit Or Credit Code,Code,,,CREDIT DEBIT CODE,BalDbOrCrCd,"Indicates whether the natural balance of the account is a debit or credit balance by indicating D or C, where assets and expenses have a natural balance of debit, and liabilities, equity and revenues have a natural balance of credit.",,
142,Base,BS09,10,BBIE,1,0..1,Chart Of Accounts,Active Flag,Indicator,,,BOOLEAN,ActiveFlag,"Indicates whether the GL account is active or inactive.EXAMPLE   1 is active, 0 is inactive.",,
143,Base,BS09,BS63,ASBIE,1,0..n,Chart Of Accounts,Specified,,Business Segment,,,BusSg,Contains associated Business Segment information.,,
144,Base,BS63,01,BBIE,2,0..1,Business Segment,Sequence Number,Code,,,TEXT 60,SqNr,Number or text to keep the Business Segments in a predefined order.,,
145,Base,BS63,02,RFBIE,2,0..1,Business Segment,Business Segment Code,,,Business Segment,IDENTIFIER 25,BusSgCd,Contains a code to identify the associated business segment. Must match the Business_Segment_Code [BusSgCd] in BAS_Business_Segment [BasBusSg].,BAS BUSINESS SEGMENT,Business Segment Code
146,Base,BS10,,ABIE,0,--,Accounting Period,,,,,,BasAcntingPer,"Contains information related to the accounting period, including corresponding fiscal year, beginning date and ending date. The table captures the time range within a specific reporting period and year, in which business transactions and entries are accumulated into financial statements and other reports.",,
147,Base,BS10,01,PKBIE,1,1..1,Accounting Period,Fiscal Year,Code,,,YEAR IDENTIFIER,FiscYr,"Fiscal year in which the calendar date occurs.The year shall be shown in four digits as YYYY, which is part of the extended format and the YYYY-MM-DD from ISO 8601-1.",,
148,Base,BS10,02,PKBIE,1,1..1,Accounting Period,Accounting Period,Code,,,PERIOD IDENTIFIER,AcntingPer,"Accounting period in which the calendar date occurs.EXAMPLE   W1-W53 for weekly periods, M1-M12 for monthly periods, Q1-Q4 for quarterly periods, from any beginning date to any ending date.",,
