Module,#,Kind,Table,No.,Name,Dictionary Entry Name,Description,XBRL GL Taxonomy Element,Object Class Term Qualifier,Object Class Term,Property Term Qualifier,Property Term,Datatype Qualifier,Representation term,Associated Object Class Term Qualifier,Associated Object Class,Datatype,Representation,Level,Key,Ref Field,Ref Table,Occurrence Min,Occurrence Max
Base,3,BBIE,BAS_Employee,2,Employee_Code,ADCS_ Employee. Code,"The code of the employee. Each employee has only one code. If someone does part-time jobs in multiple departments, there will be more than one record with different Employee_ID in this table. And the part-time status will be reflected in Employee_Type_Code.",,ADCS,Employee,,Code,,Code,,,String,%60s,1,,,,1,1
Base,3,BBIE,BAS_Employee,3,Employee_Name,ADCS_ Employee. Name,The name of the employee.,,ADCS,Employee,,Name,,Name,,,String,%100s,1,,,,1,1
Base,3,BBIE,BAS_Employee,4,Inactive_flag,ADCS_ Employee. Inactive Flag. Indicator,Indicate whether one employee is active or inactive. One employee may become inactive due to some reasons such as sabbatical.,,ADCS,Employee,,Inactive Flag,,Indicator,,,Boolean,%1c,2,,,,0,1
Base,3,BBIE,BAS_Employee,5,Employee_Type_Code,ADCS_ Employee. Type Code,"The code of the employee types. EXAMPLE Using 004 to represent an on-the-job employee, 005 to represent a retired employee, 006 to represent a deceased employee, and 007 to represent a part-time employee.",,ADCS,Employee,,Type Code,,Code,,,String,%60s,1,,,,1,1
Base,3,BBIE,BAS_Employee,6,Employee_Type_Name,ADCS_ Employee. Type Name,"The name of the employee type. EXAMPLE Employed, retired, probation and part-time.",,ADCS,Employee,,Type Name,,Name,,,String,%60s,1,,,,1,1
Base,3,RFBIE,BAS_Employee,7,Department_Code,ADCS_ Employee. Department. ADCS_ Business Segment,The code of department rosters. EXAMPLE The IT department is designated as code 0018. Shall match the Business_Segment_Code in the BAS_Business_Segment table.,,ADCS,Employee,,Department,,,ADCS,Business Segment,String,%25s,1,REF,Business_Segment_Code,BAS_Business_Segment,1,1
Base,3,BBIE,BAS_Employee,8,Employee_Job_Title,ADCS_ Employee. Job Title. Name,The title of the person in an accounting unit. EXAMPLE Accounting manager.,,ADCS,Employee,,Job Title,,Name,,,String,%60s,2,,,,0,1
Base,3,BBIE,BAS_Employee,9,Employee_Academic_Degree,ADCS_ Employee. Academic Degree,"The highest academic degree acquired. EXAMPLE Doctor, Master.",,ADCS,Employee,,Academic Degree,,Text,,,String,%60s,2,,,,0,1
Base,3,BBIE,BAS_Employee,10,Employment_Date,ADCS_ Employee. Employment Date,The employment date of the employee.,,ADCS,Employee,,Employment Date,,Date,,,Date,%10c,2,,,,0,1
Base,3,BBIE,BAS_Employee,11,Termination_Date,ADCS_ Employee. Termination Date,"The termination date of the employee from which the labor contract was no longer valid, or the employee no longer works in this department.",,ADCS,Employee,,Termination Date,,Date,,,Date,%10c,2,,,,0,1
Base,3,RFBIE,BAS_Employee,12,User_ID,ADCS_ Employee. Associated. ADCS_ User,The system user ID associated with the employee. hall match the User_ID in the BAS_User table.,,ADCS,Employee,,Associated,,,ADCS,User,String,%25s,2,REF,User_ID,BAS_User,0,1
Base,4,ABIE,BAS_User,0,,ADCS_ User. Details,The user information of accounting and/or ERP system is contained in Table 10.,,ADCS,User,,,,,,,,,,,,,,
Base,4,IDBIE,BAS_User,1,User_ID,ADCS_ User. ID,"The unique identifier for the individuals entering transactions into the accounting and/or ERP system. Typically auto-generated by the system. This field is used to join information in this table to other tables based on the fields such as Created_User_ID, Last_Modified_User_ID, Approved_User_ID and Posted_User_ID, respectively.","gl-cor:identifierCode with gl-cor:identifierCategory = ""systemUser""",ADCS,User,,Identification,,Identifier,,,String,%25s,1,PK,,,1,1
Base,4,BBIE,BAS_User,2,User_Active_Status,ADCS_ User. Active Status. Code,"This indicates whether the status of the user is active or inactive. A user may become inactive due to retirement, dismissal or termination etc. EXAMPLE 1 is active and 0 is inactive.",gl-cor:identifierActive,ADCS,User,,Active Status,,Code,,,Boolean,%1c,2,,,,0,1
Base,4,BBIE,BAS_User,3,User_Status_Modified_Date,ADCS_ User. Status Modified Date,The modified date of the user's activation or termination status.,gl-cor:dateAcknowledged,ADCS,User,,Status Modified Date,,Date,,,Date,%10c,2,,,,0,1
Base,4,BBIE,BAS_User,4,User_Name,ADCS_ User. User Name,The name of the user.,gl-cor:identifierContactFirstName and gl-cor:identifierContactLastName,ADCS,User,,User Name,,Name,,,String,%100s,1,,,,1,1
Base,4,BBIE,BAS_User,5,User_Job_Title,ADCS_ User. User Job Title. Name,The title of the person in the system. EXAMPLE System manager.,gl-cor:identifierContactPrefix,ADCS,User,,User Job Title,,Name,,,String,%100s,2,,,,0,1
Base,4,RFBIE,BAS_User,6,Department_Code,ADCS_ User. Department. ADCS_ Business Segment,The code of department rosters of the use. EXAMPLE The department name is IT department and the code is 0018. Shall match the Business_Segment_Code in the BAS_Business_Segment table.,,ADCS,User,,Department,,,ADCS,Business Segment,String,%25s,2,REF,Business_Segment_Code,BAS_Business_Segment,0,1
Base,4,BBIE,BAS_User,7,User_Role_Responsibility,ADCS_ User. User Role Responsibility,Free form description of the individual's functional role or primary responsibility. EXAMPLE Responsibility related to managing the information of accounts payable in the system.,gl-cor:identifierContactPositionRole,ADCS,User,,User Role Responsibility,,Text,,,String,%100s,2,,,,0,1
Base,5,ABIE,BAS_Customer_Type,0,,ADCS_ Customer Type. Details,Detailed descriptions of the customer type are contained in Table 12.,,ADCS,Customer Type,,,,,,,,,,,,,,
Base,5,IDBIE,BAS_Customer_Type,1,Customer_Type_ID,ADCS_ Customer Type. ID,The unique identifier for the customer type. Typically auto-generated by the system.,"gl-cor:identifierCode for internal # with gl-cor:identifierType = ""customer""",ADCS,Customer Type,,Identification,,Identifier,,,String,%60s,1,PK,,,1,1
Base,5,BBIE,BAS_Customer_Type,2,Customer_Type_Code,ADCS_ Customer Type. Customer Type. Code,"The code of the customer type. EXAMPLE Using 004 to represent a Platinum customer, 005 to represent a Gold customer and 006 to represent a Silver customer. Customer_Type_Code and Customer_Type_Name are not necessarily related.",,ADCS,Customer Type,,Customer Type,,Code,,,String,%100s,1,,,,1,1
Base,5,BBIE,BAS_Customer_Type,3,Customer_Type_Name,ADCS_ Customer Type. Customer Type. Name,"The name of the type categorized by the customer attributes. EXAMPLE Platinum customer, Gold customer and Silver customer.",,ADCS,Customer Type,,Customer Type,,Name,,,String,%80s,1,,,,1,1
Base,5,RFBIE,BAS_Customer_Type,4,Parent_Customer_Type_ID,ADCS_ Customer Type. Parent. ADCS_ Customer Type,The unique identifier for the parent customer type. Typically autogenerated by the system. Shall match the Customer_Type_ID in the BAS_Customer_Type table.,,ADCS,Customer Type,,Parent,,,ADCS,Customer Type,String,%60s,2,REF,Customer_Type_ID,BAS_Customer_Type,0,1
Base,6,ABIE,BAS_Customer,0,,ADCS_ Customer. Details,The essential and generic information of the customers is contained in Table 14.,,ADCS,Customer,,,,,,,,,,,,,,
Base,6,IDBIE,BAS_Customer,1,Customer_Account_ID,ADCS_ Customer. ID,The unique identifier for the customer. Typically auto-generated by the system.,"gl-cor:identifierCode for internal # with gl-cor:identifierType = ""customer""",ADCS,Customer,,Identification,,Identifier,,,String,%100s,1,PK,,,1,1
Base,6,BBIE,BAS_Customer,2,Customer_Account_Number,ADCS_ Customer. Customer Account Number. Code,The number of the customer. This number is generated either by manual input or by the system.,gl-cor:identifierDescription,ADCS,Customer,,Customer Account Number,,Code,,,String,%100s,1,,,,1,1
Base,6,BBIE,BAS_Customer,3,Customer_Account_Name,ADCS_ Customer. Customer Account. Name,The name of the customer.,gl-cor:identifierDescription,ADCS,Customer,,Customer Account,,Name,,,String,%200s,1,,,,1,1
Base,6,BBIE,BAS_Customer,4,Customer_Abbreviation,ADCS_ Customer. Abbreviation,The abbreviation of the customer's name.,,ADCS,Customer,,Abbreviation,,Text,,,String,%100s,2,,,,0,1
Base,6,RFBIE,BAS_Customer,5,Parent_Customer_ID,ADCS_ Customer. Parent. ADCS_ Customer,The unique identifier for the parent customer. Shall match the Customer_Account_ID in the BAS_Customer table.,"gl-cor:identifierCode with gl-cor:identifierType = ""customer""",ADCS,Customer,,Parent,,,ADCS,Customer,String,%100s,2,REF,Customer_Account_ID,BAS_Customer,0,1
Base,6,RFBIE,BAS_Customer,6,Corresponding_Supplier_ID,ADCS_ Customer. Corresponding. ADCS_ Supplier,The unique identifier for the corresponding supplier in case that the customer is also a supplier. Shall match the Supplier_Account_ID in the BAS_Supplier table. Otherwise set NULL.,"gl-cor:identifierCode with gl-cor:identifierType = ""vendor""",ADCS,Customer,,Corresponding,,,ADCS,Supplier,String,%100s,2,REF,Supplier_Account_ID,BAS_Supplier,0,1
Base,6,RFBIE,BAS_Customer,7,Customer_Type_ID,ADCS_ Customer. Classified. ADCS_ Customer Type,The unique identifier for the customer type. Typically auto-generated by the system. Shall match the Customer_Type_ID in the BAS_Customer_Type table.,,ADCS,Customer,,Classified,,,ADCS,Customer Type,String,%60s,2,REF,Customer_Type_ID,BAS_Customer_Type,0,1
Base,6,BBIE,BAS_Customer,8,Customer_TIN,ADCS_ Customer. Tax Identification Number. Code,The customer's tax identification number. This number is usually generated by tax regulator.,gl-cor:identifierAuthorityCode for tax #,ADCS,Customer,,Tax Identification Number,,Code,,,String,%100s,1,,,,1,1
Base,6,ASBIE,BAS_Customer,9,,ADCS_ Customer. Physical_ Address. ADCS_ Address,The customer's physical address.,,ADCS,Customer,Physical,Address,,,ADCS,Address,,,1,,,,1,1
Base,6,ASBIE,BAS_Customer,15,,ADCS_ Customer. Billing_ Address. ADCS_ Address,The customer's billing address.,,ADCS,Customer,Billing,Address,,,ADCS,Address,,,1,,,,1,1
Base,6,ASBIE,BAS_Customer,21,,ADCS_ Customer. Crresponding. ADCS_ Primary Contact,The name of the primary contact for the customer.,,ADCS,Customer,,Crresponding,,,ADCS,Primary Contact,String,%100s,2,,,,0,1
Base,6,BBIE,BAS_Customer,24,Inactive_Date,ADCS_ Customer. Inactive. Date,"The date that the customer was declared inactive. For example a customer may become inactive due to exceeding credit limit, legal restrictions, contract termination or bankruptcy etc.",gl-cor:confirmedDate,ADCS,Customer,,Inactive,,Date,,,Date,%10c,2,,,,0,1
Base,6,BBIE,BAS_Customer,25,Transaction_Credit_Limit,ADCS_ Customer. Transaction Credit Limit. Amount,The per invoice credit limit established for the customer.,gl-muc:amountRestatedAmount,ADCS,Customer,,Transaction Credit Limit,,Amount,,,Decimal,%22.4f,2,,,,0,1
Base,6,BBIE,BAS_Customer,26,Total_Credit_Limit,ADCS_ Customer. Total Credit Limit. Amount,The credit limit for the customer's total outstanding balance.,gl-cor:amount,ADCS,Customer,,Total Credit Limit,,Amount,,,Decimal,%22.4f,2,,,,0,1
Base,6,BBIE,BAS_Customer,27,Terms_Discount_Percentage,ADCS_ Customer. Terms Discount. Percentage,"The discount percentage the customer can take if an invoice is paid before a certain number of days. In the flat file, terms are represented as integers to decimal place. EXAMPLE 10% would be represented as 0.10.",gl-cor:terms,ADCS,Customer,,Terms Discount,,Percentage,,,Decimal,%5.4f,2,,,,0,1
Base,6,BBIE,BAS_Customer,28,Terms_Discount_Days,ADCS_ Customer. Terms Discount Days. Numeric,The number of days from the invoice date the customer has to take advantage of discounted terms. Terms are represented as integers with no decimal places. EXAMPLE 10 days would be represented as 10.,See description for field,ADCS,Customer,,Terms Discount Days,,Numeric,,,Integer,%6d,2,,,,0,1
Base,6,BBIE,BAS_Customer,29,Terms_Due_Days,ADCS_ Customer. Terms Due Days. Numeric,The default number of days allowed to meet the obligation before an invoice becomes overdue.,See description for field; explicit in gl-cor:maturityDate,ADCS,Customer,,Terms Due Days,,Numeric,,,Integer,%6d,2,,,,0,1
Base,6,ASBIE,BAS_Customer,30,,ADCS_ Customer. Recorded. ADCS_ User Activity,The unique identifier for the person who created the record. Typically autogenerated by the system. Shall match the User_ID in the BAS_User table.,,ADCS,Customer,,Recorded,,,ADCS,User Activity,,,2,,,,0,n
Base,7,ABIE,BAS_Supplier_Type,0,,ADCS_ Supplier Type. Details,Detailed descriptions of the supplier type are contained in Table 16.,,ADCS,Supplier Type,,,,,,,,,,,,,,
Base,7,IDBIE,BAS_Supplier_Type,1,Supplier_Type_ID,ADCS_ Supplier Type. ID,The unique identifier for the supplier type. Typically auto-generated by the system.,"gl-cor:documentReference / Rather than using a data field, use XML's ID at the top level of the structure. You can use both XML IDs and IDREFs to create physical links between related documents.",ADCS,Supplier Type,,Identification,,Identifier,,,String,%60s,1,PK,,,1,1
Base,7,BBIE,BAS_Supplier_Type,2,Supplier_Type_Code,ADCS_ Supplier Type. Code,"The code of the supplier type. EXAMPLE Using 004 to represent preferred suppliers, 005 to represent key suppliers, and 006 to represent common suppliers.",,ADCS,Supplier Type,,Code,,Code,,,String,%100s,1,,,,1,1
Base,7,BBIE,BAS_Supplier_Type,3,Supplier_Type_Name,ADCS_ Supplier Type. Name,"The name of the type categorized by the supplier attributes. EXAMPLE Preferred supplier, key supplier and common supplier.",,ADCS,Supplier Type,,Name,,Name,,,String,%80s,1,,,,1,1
Base,7,RFBIE,BAS_Supplier_Type,4,Parent_Supplier_Type_ID,ADCS_ Supplier Type. Parent. ADCS_ Supplier Type,The unique identifier for the parent supplier type. EXAMPLE Raw material supplier is a parent type of iron supplier. Typically auto-generated by the system. Shall match the Supplier_Type_ID in the BAS_Supplier_Type table.,,ADCS,Supplier Type,,Parent,,,ADCS,Supplier Type,String,%60s,2,REF,Supplier_Type_ID,BAS_Supplier_Type,0,1
Base,8,ABIE,BAS_Supplier,0,,ADCS_ Supplier. Details,The essential and generic information of the suppliers is contained in Table 18.,,ADCS,Supplier,,,,,,,,,,,,,,
Base,8,IDBIE,BAS_Supplier,1,Supplier_Account_ID,ADCS_ Supplier. ID,The unique identifier for the supplier to whom payment is due or from whom unused credits have been applied. Typically auto-generated by the system.,"gl-cor:identifierCode for internal # with gl-cor:identifierType = ""vendor""",ADCS,Supplier,,Identification,,Identifier,,,String,%100s,1,PK,,,1,1
Base,8,BBIE,BAS_Supplier,2,Supplier_Account_Number,ADCS_ Supplier. Account Number. Code,The number of the supplier to whom payment is due or from whom unused credits have been applied. The number is usually generated by manual input or generated by the system.,,ADCS,Supplier,,Account Number,,Code,,,String,%100s,1,,,,1,1
Base,8,BBIE,BAS_Supplier,3,Supplier_Account_Name,ADCS_ Supplier. Account Name,The name of the supplier.,gl-cor:identifierDescription,ADCS,Supplier,,Account Name,,Name,,,String,%200s,1,,,,1,1
Base,8,BBIE,BAS_Supplier,4,Supplier_Abbreviation,ADCS_ Supplier. Abbreviation,The abbreviation of the supplier's name.,,ADCS,Supplier,,Abbreviation,,Text,,,String,%100s,2,,,,0,1
Base,8,RFBIE,BAS_Supplier,5,Parent_Supplier_ID,ADCS_ Supplier. Parent. ADCS_ Supplier,The unique identifier for the parent supplier. Typically auto-generated by the system. Shall match the Supplier_Account_ID in the BAS_Supplier table.,"gl-cor:identifierCode with gl-cor:identifierType = ""vendor""",ADCS,Supplier,,Parent,,,ADCS,Supplier,String,%100s,2,REF,Supplier_Account_ID,BAS_Supplier,0,1
Base,8,RFBIE,BAS_Supplier,6,Corresponding_Customer_ID,ADCS_ Supplier. Corresponding. ADCS_ Customer,The unique identifier for the corresponding customer in case that the supplier is also a customer. Typically auto-generated by the system. Shall match the Customer_Account_ID in the BAS_Customer table. Otherwise set NULL.,"gl-cor:identifierCode with gl-cor:identifierType = ""customer""",ADCS,Supplier,,Corresponding,,,ADCS,Customer,String,%100s,2,REF,Customer_Account_ID,BAS_Customer,0,1
Base,8,RFBIE,BAS_Supplier,7,Supplier_Type_ID,ADCS_ Supplier. classified. ADCS_ Supplier Type,The unique identifier for the supplier type. Typically auto-generated by the system. Shall match the Supplier_Type_ID in the BAS_Supplier_Type table.,,ADCS,Supplier,,classified,,,ADCS,Supplier Type,String,%60s,2,REF,Supplier_Type_ID,BAS_Supplier_Type,0,1
Base,8,BBIE,BAS_Supplier,8,Supplier_TIN,ADCS_ Supplier. Tax Identification Number. Code,The supplier's tax identification number. The number is usually generated by the tax regulator.,gl-cor:identifierAuthorityCode for tax #,ADCS,Supplier,,Tax Identification Number,,Code,,,String,%100s,1,,,,1,1
Base,8,ASBIE,BAS_Supplier,9,,ADCS_ Supplier. Physical_ Address. ADCS_ Address,The supplier's physical address.,,ADCS,Supplier,Physical,Address,,,ADCS,Address,,,1,,,,1,1
Base,8,ASBIE,BAS_Supplier,15,,ADCS_ Supplier. Billing_ Address. ADCS_ Address,The supplier's billing address.,,ADCS,Supplier,Billing,Address,,,ADCS,Address,,,1,,,,1,1
Base,8,ASBIE,BAS_Supplier,21,,ADCS_ Supplier. Corresponding. ADCS_ Primary Contact,The name of the primary contact for the supplier.,,ADCS,Supplier,,Corresponding,,,ADCS,Primary Contact,String,%100s,2,,,,0,1
Base,8,BBIE,BAS_Supplier,24,Supplier_Group,ADCS_ Supplier. Group. Code,Supplier group assignments when the organization segments the suppliers.,gl-cor:identifierCategory,ADCS,Supplier,,Group,,Code,,,String,%100s,2,,,,0,1
Base,8,BBIE,BAS_Supplier,25,Inactive_Date,ADCS_ Supplier. Inactive. Date,"The date the supplier was declared inactive. For example a supplier may become inactive due to exceeding credit limit, legal restrictions, contract termination or bankruptcy etc.",gl-cor:confirmedDate,ADCS,Supplier,,Inactive,,Date,,,Date,%10c,2,,,,0,1
Base,8,BBIE,BAS_Supplier,26,Transaction_Credit_Limit,ADCS_ Supplier. Transaction Credit Limit. Amount,The per invoice credit limit established for this supplier.,gl-muc:amountRestatedAmount,ADCS,Supplier,,Transaction Credit Limit,,Amount,,,Decimal,%22.4f,2,,,,0,1
Base,8,BBIE,BAS_Supplier,27,Total_Credit_Limit,ADCS_ Supplier. Total Credit Limit. Amount,The credit limit for the total outstanding balance approved for the supplier.,gl-cor:amount,ADCS,Supplier,,Total Credit Limit,,Amount,,,Decimal,%22.4f,2,,,,0,1
Base,8,BBIE,BAS_Supplier,28,Terms_Discount_Percentage,ADCS_ Supplier. Terms Discount. Percentage,"The discount percentage the supplier can provide if an invoice is paid before a certain number of days. In the flat file, terms are represented as integers to decimal place. EXAMPLE 10% would be represented as 0.10.",gl-cor:terms,ADCS,Supplier,,Terms Discount,,Percentage,,,Decimal,%5.4f,2,,,,0,1
Base,8,BBIE,BAS_Supplier,29,Terms_Discount_Days,ADCS_ Supplier. Terms Discount Days. Numeric,The number of days from the invoice date the supplier provides for the customer to take advantage of discounted terms. Terms are represented as integers with no decimal places. EXAMPLE 10 days would be represented as 10.,See description for field,ADCS,Supplier,,Terms Discount Days,,Numeric,,,Integer,%6d,2,,,,0,1
Base,8,BBIE,BAS_Supplier,30,Terms_Due_Days,ADCS_ Supplier. Terms Due Days. Numeric,The number of days allowed to meet the obligation before an invoice becomes overdue.,See description for field; explicit in gl-cor:maturityDate,ADCS,Supplier,,Terms Due Days,,Numeric,,,Integer,%6d,2,,,,0,1
Base,8,ASBIE,BAS_Supplier,31,,ADCS_ Supplier. Recorded. ADCS_ User Activity,The unique identifier for the person who created the record. Typically autogenerated by the system. Shall match the User_ID in the BAS_User table.,,ADCS,Supplier,,Recorded,,,ADCS,User Activity,,,2,,,,0,n
Base,9,ABIE,BAS_Chart_Of_Accounts,0,,ADCS_ Chart Of Accounts. Details,"The information about GL accounts, including name, description, type and hierarchy is contained in Table 20. When it is cross-referred by other table(s), consistency shall apply. For example, in this table, the value of GL_Account_Number is 101, the value of GL_Account_Name is cash, and the value of Balance_Debit_Or_Credit is D, if the value of GL_Account_Number in GL_Tial_Balance table is 101, then the Amount corresponding with cash account (101) must be debit.",,ADCS,Chart Of Accounts,,,,,,,,,,,,,,
Base,9,IDBIE,BAS_Chart_Of_Accounts,1,GL_Account_Number,ADCS_ Chart Of Accounts. ID,The GL account number.,gl-cor:accountMainID,ADCS,Chart Of Accounts,,Identification,,Identifier,,,String,%100s,1,PK,,,1,1
Base,9,BBIE,BAS_Chart_Of_Accounts,2,GL_Account_Name,ADCS_ Chart Of Accounts. GL Account. Name,The name of the GL account.,gl-cor:accountMainDescription,ADCS,Chart Of Accounts,,GL Account,,Name,,,String,%100s,1,,,,1,1
Base,9,BBIE,BAS_Chart_Of_Accounts,3,GL_Account_Description,ADCS_ Chart Of Accounts. Description,The label or description associated with the GL_Account_Number.,gl-cor:accountTypeDescription,ADCS,Chart Of Accounts,,Description,,Text,,,String,%1000s,2,,,,0,1
Base,9,BBIE,BAS_Chart_Of_Accounts,4,FS_Caption,ADCS_ Chart Of Accounts. Caption,"The financial statement caption represents a related group of accounts. EXAMPLE Cash and cash equivalents, accounts payable and cost of sales. The caption can be at the trial balance level.",gl-cor:summaryReportingElement,ADCS,Chart Of Accounts,,Caption,,Text,,,String,%100s,1,,,,1,1
Base,9,BBIE,BAS_Chart_Of_Accounts,5,Account_Type,ADCS_ Chart Of Accounts. Account Type. Code,"The type of account. EXAMPLE Assets, liabilities, equity, revenues and expenses.",gl-cor:mainAccountType,ADCS,Chart Of Accounts,,Account Type,,Code,,,String,%25s,1,,,,1,1
Base,9,BBIE,BAS_Chart_Of_Accounts,6,Account_Subtype,ADCS_ Chart Of Accounts. Accountount Subtype. Code,The subtype of the account. EXAMPLE Current assets are the subtype of assets.,gl-cor:mainAccountTypeDescription,ADCS,Chart Of Accounts,,Accountount Subtype,,Code,,,String,%25s,1,,,,1,1
Base,9,BBIE,BAS_Chart_Of_Accounts,7,Account_Hierarchy,ADCS_ Chart Of Accounts. Account Hierarchy. Numeric,"The corresponding level for account number in the account hierarchy. EXAMPLE Using 1 to represent assets, and 2 to represent the account subtype current assets.",,ADCS,Chart Of Accounts,,Account Hierarchy,,Numeric,,,Integer,%2d,2,,,,0,1
Base,9,RFBIE,BAS_Chart_Of_Accounts,8,Parent_GL_Account_Number,ADCS_ Chart Of Accounts. GL Account Number. ADCS_ Chart Of Accounts,"The number of the parent account in an account hierarchy. This is provided to allow more than the predefined levels of the hierarchy in the BAS_Chart_Of_Accounts table. When Parent_GL_Account_Number is the highest level, its value can be set to the default value; for example, set to NULL. Shall match the GL_Account_Number in BAS_Chart_Of_Accounts table.",,ADCS,Chart Of Accounts,,GL Account Number,,,ADCS,Chart Of Accounts,String,%100s,1,REF,GL_Account_Number,BAS_Chart_Of_Accounts,1,1
Base,9,BBIE,BAS_Chart_Of_Accounts,9,Balance_Debit_Or_Credit,ADCS_ Chart Of Accounts. Debit Or Credit. indicator,"This field is used to indicate whether the natural balance of the account is a debit or credit balance by indicating ""D"" or ""C"", where assets and expenses have a natural balance of debit, and liabilities, equity and revenues have a natural balance of credit.",,ADCS,Chart Of Accounts,,Debit Or Credit,,indicator,,,String,%1c,2,,,,0,1
Base,9,BBIE,BAS_Chart_Of_Accounts,10,Active_Flag,ADCS_ Chart Of Accounts. Active Flag. Indicator,This indicates whether the GL account is active or inactive. EXAMPLE 1 is active and 0 is inactive.,,ADCS,Chart Of Accounts,,Active Flag,,Indicator,,,Boolean,%1c,2,,,,0,1
Base,9,ASBIE,BAS_Chart_Of_Accounts,11,,ADCS_ Chart Of Accounts. X. ADCS_ Business Segment,"A reserved field that shall be used for business segments/structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with a unique reference level. For example, division, department, business unit, purchasing organization, project or legal entity.",,ADCS,Chart Of Accounts,,X,,,ADCS,Business Segment,String,%25s,1,,,,1,1
Base,10,ABIE,BAS_Accounting_Period,0,,ADCS_ Accounting Period. Details,"The information related to accounting period including the corresponding fiscal year, the beginning and ending date is contained in Table 22. The table captures the time range within a specific reporting period and year, in which business transactions and entries are accumulated into financial statements and other reports.",,ADCS,Accounting Period,,,,,,,,,,,,,,
Base,10,IDBIE,BAS_Accounting_Period,2,Fiscal_Year,ADCS_ Accounting Period. Fiscal Year. Code,"The fiscal year in which the calendar date occurs. The year shall be shown in four digits as ""YYYY"", which is part of the extended format and the ""YYYYMM-DD"" in ISO 8601-1.",,ADCS,Accounting Period,,Fiscal Year,,Code,,,String,%4c,1,PK,,,1,1
