d_A025,d_A026,d_A001,A025-001,A025-A026-008,A025-A026-007,A025-A027-002,I,A026-A076-001,A026-A076-002,A026-A076-003,A025-A001-001,A025-A001-002,A025-A001-003,P,Q,R,S,A026-014,A026-012,A026-011,A025-009,A025-002,Y,A026-003,A026-A009-002,A026-A009-005,A026-A009-003,A026-A009-007,A026-A009-006,A026-027,A026-A089-001,A026-A089-002,A026-006,A026-013,AM,A026-010,A026-A001-001,A026-A001-002,A026-A001-003,A026-A001-004,
0001-20090402-142-6-1-473,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20090402-142-6-1-473,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,111,Cash,account,,,,credit,14050,ISO4217:JPY,2009-04-02,proposed,CashHand,高速代,,,,,
0001-20090402-142-6-1-473,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090402-142-6-1-473,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,740,Vehicle costs,account,,,,debit,591,ISO4217:JPY,2009-04-02,proposed,VehiclesExpense,駐車代,,,,,
0001-20090402-142-6-1-473,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20090402-142-6-1-473,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,29,ISO4217:JPY,2009-04-02,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20090402-142-6-1-473,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20090402-142-6-1-473,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,740,Vehicle costs,account,,,,debit,4620,ISO4217:JPY,2009-04-02,proposed,VehiclesExpense,ガソリン代,,,,,
0001-20090402-142-6-1-473,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20090402-142-6-1-473,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,230,ISO4217:JPY,2009-04-02,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20090402-142-6-1-473,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20090402-142-6-1-473,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,740,Vehicle costs,account,,,,debit,5715,ISO4217:JPY,2009-04-02,proposed,VehiclesExpense,洗車券代,,,,,
0001-20090402-142-6-1-473,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20090402-142-6-1-473,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,285,ISO4217:JPY,2009-04-02,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20090402-142-6-1-473,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20090402-19-3-1-467,,,0001-20090402-19-3-1-467,entries,3-467,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:37:58,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,19,standard,,,,,,,,,,,,,,,,,,
0001-20090402-19-3-1-467,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,726,Travel expenses,account,,,,debit,10477,ISO4217:JPY,2009-04-02,proposed,TravelingExpense,旅費,,,,,
0001-20090402-19-3-1-467,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Sapporo,10,Department,,,,,,,,,,,,
0001-20090402-19-3-1-467,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,523,ISO4217:JPY,2009-04-02,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20090402-19-3-1-467,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Sapporo,10,Department,,,,,,,,,,,,
0001-20090402-19-3-1-467,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,111,Cash,account,,,,credit,11000,ISO4217:JPY,2009-04-02,proposed,CashHand,旅費,,,,,
0001-20090402-19-3-1-467,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090402-68-4-1-469,,,0001-20090402-68-4-1-469,entries,4-469,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:37:58,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,68,standard,,,,,,,,,,,,,,,,,,
0001-20090402-68-4-1-469,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,791,Miscellaneous expenses,account,,,,debit,2829,ISO4217:JPY,2009-04-02,proposed,MiscellaneousExpense,トイレットペーパー他,,,,,
0001-20090402-68-4-1-469,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Sapporo,10,Department,,,,,,,,,,,,
0001-20090402-68-4-1-469,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,141,ISO4217:JPY,2009-04-02,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20090402-68-4-1-469,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Sapporo,10,Department,,,,,,,,,,,,
0001-20090402-68-4-1-469,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,111,Cash,account,,,,credit,2970,ISO4217:JPY,2009-04-02,proposed,CashHand,トイレットペーパー他,,,,,
0001-20090402-68-4-1-469,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090403-134-8-1-477,,,0001-20090403-134-8-1-477,entries,8-477,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:37:58,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,134,standard,,,,,,,,,,,,,,,,,,
0001-20090403-134-8-1-477,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,754,Office consumables expenses,account,,,,debit,14858,ISO4217:JPY,2009-04-03,proposed,StationeryExpense,用紙,,,,,
0001-20090403-134-8-1-477,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Sapporo,10,Department,,,,,,,,,,,,
0001-20090403-134-8-1-477,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,742,ISO4217:JPY,2009-04-03,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20090403-134-8-1-477,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Sapporo,10,Department,,,,,,,,,,,,
0001-20090403-134-8-1-477,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,111,Cash,account,,,,credit,15600,ISO4217:JPY,2009-04-03,proposed,CashHand,用紙,,,,,
0001-20090403-134-8-1-477,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090403-41-7-1-475,,,0001-20090403-41-7-1-475,entries,7-475,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:37:58,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,41,standard,,,,,,,,,,,,,,,,,,
0001-20090403-41-7-1-475,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,733,Entertainment expenses,account,,,,debit,12000,ISO4217:JPY,2009-04-03,proposed,EntertainmentExpense,結婚式会費,,,,,
0001-20090403-41-7-1-475,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Tokyo,20,Department,,,,,,,,,,,,
0001-20090403-41-7-1-475,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,111,Cash,account,,,,credit,12000,ISO4217:JPY,2009-04-03,proposed,CashHand,結婚式会費,,,,,
0001-20090403-41-7-1-475,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090404-310-9-1-479,,,0001-20090404-310-9-1-479,entries,9-479,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:37:58,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,310,standard,,,,,,,,,,,,,,,,,,
0001-20090404-310-9-1-479,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,740,Vehicle costs,account,,,,debit,6486,ISO4217:JPY,2009-04-04,proposed,VehiclesExpense,ガソリン代,,,,,
0001-20090404-310-9-1-479,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Kyushu,50,Department,,,,,,,,,,,,
0001-20090404-310-9-1-479,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,324,ISO4217:JPY,2009-04-04,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20090404-310-9-1-479,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Kyushu,50,Department,,,,,,,,,,,,
0001-20090404-310-9-1-479,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,111,Cash,account,,,,credit,18270,ISO4217:JPY,2009-04-04,proposed,CashHand,ガソリン代,,,,,
0001-20090404-310-9-1-479,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090404-310-9-1-479,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,740,Vehicle costs,account,,,,debit,9715,ISO4217:JPY,2009-04-04,proposed,VehiclesExpense,高速代,,,,,
0001-20090404-310-9-1-479,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Kyushu,50,Department,,,,,,,,,,,,
0001-20090404-310-9-1-479,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,485,ISO4217:JPY,2009-04-04,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20090404-310-9-1-479,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Kyushu,50,Department,,,,,,,,,,,,
0001-20090404-310-9-1-479,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,740,Vehicle costs,account,,,,debit,1200,ISO4217:JPY,2009-04-04,proposed,VehiclesExpense,駐車代,,,,,
0001-20090404-310-9-1-479,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Kyushu,50,Department,,,,,,,,,,,,
0001-20090404-310-9-1-479,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,60,ISO4217:JPY,2009-04-04,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20090404-310-9-1-479,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Kyushu,50,Department,,,,,,,,,,,,
0001-20090405-133-11-1-483,,,0001-20090405-133-11-1-483,entries,11-483,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:37:58,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,133,standard,,,,,,,,,,,,,,,,,,
0001-20090405-133-11-1-483,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,746,Payment reward,account,,,,debit,133058,ISO4217:JPY,2009-04-05,proposed,ProfessionalsFee,税理士報酬,,,,,
0001-20090405-133-11-1-483,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Tokyo,20,Department,,,,,,,,,,,,
0001-20090405-133-11-1-483,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,6652,ISO4217:JPY,2009-04-05,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20090405-133-11-1-483,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Tokyo,20,Department,,,,,,,,,,,,
0001-20090405-133-11-1-483,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,131,Ordinary deposit,account,,,,credit,139710,ISO4217:JPY,2009-04-05,proposed,OrdinaryDeposit,税理士報酬,,,,,
0001-20090405-133-11-1-483,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090405-133-11-1-483,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Mizuho Bank Head Office,20,Sub account,,,,,,,,,,,,
0001-20090405-139-12-1-485,,,0001-20090405-139-12-1-485,entries,12-485,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:37:58,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,139,standard,,,,,,,,,,,,,,,,,,
0001-20090405-139-12-1-485,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,724,Welfare expense,account,,,,debit,52981,ISO4217:JPY,2009-04-05,proposed,WelfareExpense,制服代,,,,,
0001-20090405-139-12-1-485,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20090405-139-12-1-485,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,2649,ISO4217:JPY,2009-04-05,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20090405-139-12-1-485,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Osaka,40,Department,,,,,,,,,,,,
0001-20090405-139-12-1-485,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,322,Credit card accounts payable,account,,,,credit,55630,ISO4217:JPY,2009-04-05,proposed,AccountsPayableOther,制服代,,,,,
0001-20090405-139-12-1-485,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090405-254-13-1-487,,,0001-20090405-254-13-1-487,entries,13-487,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:37:58,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,254,standard,,,,,,,,,,,,,,,,,,
0001-20090405-254-13-1-487,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,131,Ordinary deposit,account,,,,debit,2959035,ISO4217:JPY,2009-04-05,proposed,OrdinaryDeposit,09年4月5日伝票No190株式会社　渡辺産業,,,,,
0001-20090405-254-13-1-487,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090405-254-13-1-487,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Fukuoka Kitakyushu,50,Sub account,,,,,,,,,,,,
0001-20090405-254-13-1-487,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,152,Accounts receivable,account,,,,credit,2959035,ISO4217:JPY,2009-04-05,proposed,AccountsReceivableTradeGross,09年4月5日伝票No190株式会社　渡辺産業,22,㈱渡辺産業,,customer,
0001-20090405-254-13-1-487,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090405-254-13-1-487,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,741,Bank transaction fee,account,,,,debit,600,ISO4217:JPY,2009-04-05,proposed,CommissionExpense,09年4月5日伝票No190株式会社　渡辺産業,,,,,
0001-20090405-254-13-1-487,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Kyushu,50,Department,,,,,,,,,,,,
0001-20090405-254-13-1-487,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,30,ISO4217:JPY,2009-04-05,tax,SuspenseAccountPaymentConsumptionTaxes,,,,,,
0001-20090405-254-13-1-487,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Kyushu,50,Department,,,,,,,,,,,,
0001-20090405-254-13-1-487,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,152,Accounts receivable,account,,,,credit,630,ISO4217:JPY,2009-04-05,proposed,AccountsReceivableTradeGross,09年4月5日伝票No190株式会社　渡辺産業,22,㈱渡辺産業,,customer,
0001-20090405-254-13-1-487,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090405-255-14-1-489,,,0001-20090405-255-14-1-489,entries,14-489,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,ISO693:ja,,pca,2012-12-26T17:37:58,1,Example Co.,,Example Co.,"1-2-21 Fujimi, Chiyoda-ku, Tokyo",102-8171,Japan,2008-08-19,manual,gj,General,255,standard,,,,,,,,,,,,,,,,,,
0001-20090405-255-14-1-489,/cor:entryHeader/cor:entryDetail,,,,,,,,,,,,,,,,,,,,,,,131,Ordinary deposit,account,,,,debit,1508295,ISO4217:JPY,2009-04-05,proposed,OrdinaryDeposit,09年4月5日伝票No191佐々木販売株式会社,,,,,
0001-20090405-255-14-1-489,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Common to all department,0,Department,,,,,,,,,,,,
0001-20090405-255-14-1-489,/cor:entryHeader/cor:entryDetail,/cor:account/cor:accountSub,,,,,,,,,,,,,,,,,,,,,,,,,Mizuho Bank Head Office,20,Sub account,,,,,,,,,,,,
