d_A025,d_A026,d_A001,A026-A076-001,A026-A076-002,A026-014,A026-012,A026-011,A025-009,A026-A009-001,A026-A009-002,A026-A009-005,A026-A009-003,A026-A009-007,A026-A009-006,A026-027,A026-A089-001,A026-A089-002,A026-006,A026-010,A026-A001-001,A026-A001-002,A026-A001-003
0001-20090405-254-13-1-487,2,,,,,,,,,,,,,,,,,,,22,㈱渡辺産業,trading partner
0001-20090405-254-13-1-487,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090405-254-13-1-487,3,,,,,,,,741,Bank transaction fee,account,,,,debit,600,ISO4217:JPY,2009-04-05,09年4月5日伝票No190株式会社　渡辺産業,,,
0001-20090405-254-13-1-487,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090405-254-13-1-487,4,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,30,ISO4217:JPY,2009-04-05,,,,
0001-20090405-254-13-1-487,4,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090405-254-13-1-487,5,,,,,,,,152,Accounts receivable,account,,,,credit,630,ISO4217:JPY,2009-04-05,09年4月5日伝票No190株式会社　渡辺産業,,,
0001-20090405-254-13-1-487,5,,,,,,,,,,,,,,,,,,,22,㈱渡辺産業,trading partner
0001-20090405-254-13-1-487,5,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090405-255-14-1-489,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090405-255-14-1-489,1,,,,,,,,131,Ordinary deposit,account,,,,debit,1508295,ISO4217:JPY,2009-04-05,09年4月5日伝票No191佐々木販売株式会社,,,
0001-20090405-255-14-1-489,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090405-255-14-1-489,1,2,,,,,,,,,,,,,,,,,,,,account sub
0001-20090405-255-14-1-489,2,,,,,,,,152,Accounts receivable,account,,,,credit,1508295,ISO4217:JPY,2009-04-05,09年4月5日伝票No191佐々木販売株式会社,,,
0001-20090405-255-14-1-489,2,,,,,,,,,,,,,,,,,,,26,佐々木販売㈱,trading partner
0001-20090405-255-14-1-489,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090405-255-14-1-489,3,,,,,,,,741,Bank transaction fee,account,,,,debit,450,ISO4217:JPY,2009-04-05,09年4月5日伝票No191佐々木販売株式会社,,,
0001-20090405-255-14-1-489,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090405-255-14-1-489,4,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,22,ISO4217:JPY,2009-04-05,,,,
0001-20090405-255-14-1-489,4,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090405-255-14-1-489,5,,,,,,,,152,Accounts receivable,account,,,,credit,472,ISO4217:JPY,2009-04-05,09年4月5日伝票No191佐々木販売株式会社,,,
0001-20090405-255-14-1-489,5,,,,,,,,,,,,,,,,,,,26,佐々木販売㈱,trading partner
0001-20090405-255-14-1-489,5,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090405-256-15-1-491,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090405-256-15-1-491,1,,,,,,,,131,Ordinary deposit,account,,,,debit,2171384,ISO4217:JPY,2009-04-05,09年4月5日伝票No192岩下物産株式会社,,,
0001-20090405-256-15-1-491,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090405-256-15-1-491,1,2,,,,,,,,,,,,,,,,,,,,account sub
0001-20090405-256-15-1-491,2,,,,,,,,152,Accounts receivable,account,,,,credit,2171384,ISO4217:JPY,2009-04-05,09年4月5日伝票No192岩下物産株式会社,,,
0001-20090405-256-15-1-491,2,,,,,,,,,,,,,,,,,,,27,岩下物産㈱,trading partner
0001-20090405-256-15-1-491,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090405-256-15-1-491,3,,,,,,,,741,Bank transaction fee,account,,,,debit,700,ISO4217:JPY,2009-04-05,09年4月5日伝票No192岩下物産株式会社,,,
0001-20090405-256-15-1-491,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090405-256-15-1-491,4,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,35,ISO4217:JPY,2009-04-05,,,,
0001-20090405-256-15-1-491,4,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090405-256-15-1-491,5,,,,,,,,152,Accounts receivable,account,,,,credit,735,ISO4217:JPY,2009-04-05,09年4月5日伝票No192岩下物産株式会社,,,
0001-20090405-256-15-1-491,5,,,,,,,,,,,,,,,,,,,27,岩下物産㈱,trading partner
0001-20090405-256-15-1-491,5,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090405-76-10-1-481,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090405-76-10-1-481,1,,,,,,,,724,Welfare expense,account,,,,debit,53334,ISO4217:JPY,2009-04-05,制服代,,,
0001-20090405-76-10-1-481,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090405-76-10-1-481,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,2666,ISO4217:JPY,2009-04-05,,,,
0001-20090405-76-10-1-481,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090405-76-10-1-481,3,,,,,,,,322,Credit card accounts payable,account,,,,credit,56000,ISO4217:JPY,2009-04-05,制服代,,,
0001-20090405-76-10-1-481,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-10-16-1-493,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090406-10-16-1-493,1,,,,,,,,740,Vehicle costs,account,,,,debit,4023,ISO4217:JPY,2009-04-06,ガソリン代,,,
0001-20090406-10-16-1-493,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-10-16-1-493,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,201,ISO4217:JPY,2009-04-06,,,,
0001-20090406-10-16-1-493,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-10-16-1-493,3,,,,,,,,111,Cash,account,,,,credit,4224,ISO4217:JPY,2009-04-06,ガソリン代,,,
0001-20090406-10-16-1-493,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-106-19-1-499,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090406-106-19-1-499,1,,,,,,,,733,Entertainment expenses,account,,,,debit,5372,ISO4217:JPY,2009-04-06,食事代　ホテルララダ2名,,,
0001-20090406-106-19-1-499,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-106-19-1-499,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,268,ISO4217:JPY,2009-04-06,,,,
0001-20090406-106-19-1-499,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-106-19-1-499,3,,,,,,,,111,Cash,account,,,,credit,37820,ISO4217:JPY,2009-04-06,食事代　ホテルララダ2名,,,
0001-20090406-106-19-1-499,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-106-19-1-499,4,,,,,,,,733,Entertainment expenses,account,,,,debit,30648,ISO4217:JPY,2009-04-06,飲食代　スナック北新地,,,
0001-20090406-106-19-1-499,4,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-106-19-1-499,5,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,1532,ISO4217:JPY,2009-04-06,,,,
0001-20090406-106-19-1-499,5,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-110-20-1-501,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090406-110-20-1-501,1,,,,,,,,726,Travel expenses,account,,,,debit,2181,ISO4217:JPY,2009-04-06,タクシー代,,,
0001-20090406-110-20-1-501,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-110-20-1-501,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,109,ISO4217:JPY,2009-04-06,,,,
0001-20090406-110-20-1-501,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-110-20-1-501,3,,,,,,,,111,Cash,account,,,,credit,2290,ISO4217:JPY,2009-04-06,タクシー代,,,
0001-20090406-110-20-1-501,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-123-21-1-503,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090406-123-21-1-503,1,,,,,,,,727,Communication cost,account,,,,debit,38096,ISO4217:JPY,2009-04-06,切手代,,,
0001-20090406-123-21-1-503,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-123-21-1-503,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,1904,ISO4217:JPY,2009-04-06,,,,
0001-20090406-123-21-1-503,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-123-21-1-503,3,,,,,,,,111,Cash,account,,,,credit,40000,ISO4217:JPY,2009-04-06,切手代,,,
0001-20090406-123-21-1-503,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-124-22-1-505,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090406-124-22-1-505,1,,,,,,,,738,Tax and public dues,account,,,,debit,6000,ISO4217:JPY,2009-04-06,収入印紙,,,
0001-20090406-124-22-1-505,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-124-22-1-505,2,,,,,,,,111,Cash,account,,,,credit,6000,ISO4217:JPY,2009-04-06,収入印紙,,,
0001-20090406-124-22-1-505,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-147-23-1-507,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090406-147-23-1-507,1,,,,,,,,740,Vehicle costs,account,,,,debit,4882,ISO4217:JPY,2009-04-06,ガソリン代,,,
0001-20090406-147-23-1-507,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-147-23-1-507,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,244,ISO4217:JPY,2009-04-06,,,,
0001-20090406-147-23-1-507,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-147-23-1-507,3,,,,,,,,322,Credit card accounts payable,account,,,,credit,5126,ISO4217:JPY,2009-04-06,ガソリン代,,,
0001-20090406-147-23-1-507,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-156-24-1-509,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090406-156-24-1-509,1,,,,,,,,726,Travel expenses,account,,,,debit,7143,ISO4217:JPY,2009-04-06,出張旅費,,,
0001-20090406-156-24-1-509,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-156-24-1-509,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,357,ISO4217:JPY,2009-04-06,,,,
0001-20090406-156-24-1-509,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-156-24-1-509,3,,,,,,,,111,Cash,account,,,,credit,7500,ISO4217:JPY,2009-04-06,出張旅費,,,
0001-20090406-156-24-1-509,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-236-25-1-511,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090406-236-25-1-511,1,,,,,,,,733,Entertainment expenses,account,,,,debit,25239,ISO4217:JPY,2009-04-06,ゴルフプレー代2名,,,
0001-20090406-236-25-1-511,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-236-25-1-511,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,1261,ISO4217:JPY,2009-04-06,,,,
0001-20090406-236-25-1-511,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-236-25-1-511,3,,,,,,,,111,Cash,account,,,,credit,26500,ISO4217:JPY,2009-04-06,ゴルフプレー代2名,,,
0001-20090406-236-25-1-511,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-305-26-1-513,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090406-305-26-1-513,1,,,,,,,,131,Ordinary deposit,account,,,,debit,1000000,ISO4217:JPY,2009-04-06,資金移動,,,
0001-20090406-305-26-1-513,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-305-26-1-513,1,2,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-305-26-1-513,2,,,,,,,,131,Ordinary deposit,account,,,,credit,1000000,ISO4217:JPY,2009-04-06,資金移動,,,
0001-20090406-305-26-1-513,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-305-26-1-513,2,2,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-42-17-1-495,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090406-42-17-1-495,1,,,,,,,,733,Entertainment expenses,account,,,,debit,4429,ISO4217:JPY,2009-04-06,昼食代　フロンティホテル,,,
0001-20090406-42-17-1-495,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-42-17-1-495,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,221,ISO4217:JPY,2009-04-06,,,,
0001-20090406-42-17-1-495,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-42-17-1-495,3,,,,,,,,111,Cash,account,,,,credit,4650,ISO4217:JPY,2009-04-06,昼食代　フロンティホテル,,,
0001-20090406-42-17-1-495,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-84-18-1-497,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090406-84-18-1-497,1,,,,,,,,727,Communication cost,account,,,,debit,66667,ISO4217:JPY,2009-04-06,切手代,,,
0001-20090406-84-18-1-497,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-84-18-1-497,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,3333,ISO4217:JPY,2009-04-06,,,,
0001-20090406-84-18-1-497,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090406-84-18-1-497,3,,,,,,,,111,Cash,account,,,,credit,70000,ISO4217:JPY,2009-04-06,切手代,,,
0001-20090406-84-18-1-497,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090407-102-35-1-531,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090407-102-35-1-531,1,,,,,,,,733,Entertainment expenses,account,,,,debit,1000,ISO4217:JPY,2009-04-07,手土産代　阿部商店,,,
0001-20090407-102-35-1-531,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090407-102-35-1-531,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,50,ISO4217:JPY,2009-04-07,,,,
0001-20090407-102-35-1-531,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090407-102-35-1-531,3,,,,,,,,111,Cash,account,,,,credit,1050,ISO4217:JPY,2009-04-07,手土産代　阿部商店,,,
0001-20090407-102-35-1-531,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090407-20-27-1-515,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090407-20-27-1-515,1,,,,,,,,726,Travel expenses,account,,,,debit,37143,ISO4217:JPY,2009-04-07,旅費,,,
0001-20090407-20-27-1-515,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090407-20-27-1-515,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,1857,ISO4217:JPY,2009-04-07,,,,
0001-20090407-20-27-1-515,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090407-20-27-1-515,3,,,,,,,,111,Cash,account,,,,credit,39000,ISO4217:JPY,2009-04-07,旅費,,,
0001-20090407-20-27-1-515,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090407-21-28-1-517,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
0001-20090407-21-28-1-517,1,,,,,,,,726,Travel expenses,account,,,,debit,66191,ISO4217:JPY,2009-04-07,JR代,,,
0001-20090407-21-28-1-517,1,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090407-21-28-1-517,2,,,,,,,,191,Temporary payment consumption tax,account,,,,debit,3309,ISO4217:JPY,2009-04-07,,,,
0001-20090407-21-28-1-517,2,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090407-21-28-1-517,3,,,,,,,,111,Cash,account,,,,credit,69500,ISO4217:JPY,2009-04-07,JR代,,,
0001-20090407-21-28-1-517,3,1,,,,,,,,,,,,,,,,,,,,account sub
0001-20090407-22-29-1-519,,,,pca,2008-08-19,manual,gj,General,,,,,,,,,,,,,,
